DIST|BLK|CLUST|SCODE|SNAME|MOI|STUID|CSEX|CLANG|CLASS|ASSMNTNAME|PROGNAME|1| 2a       | 2b       | 3a       | 3b       | 4a       | 4b       | 5a       | 5b       | 5c       | 6a       | 6b       | 6c       | 7a       | 7b       | 7c       
 bangalore rural | hosakote | mugbala         |35943| G LPS CHINANDAHALLI            | kannada |1564998| female | kannada       |2| 2nd Pretest     | English        |1|1|1|0|0|1|1|1|1|1|0|0|1|1|0|0
 bangalore rural | hosakote | doddagattinabbe |36208| GLPS POOJENA AGRAHARA          | kannada |1560088| male   | kannada       |2| 2nd Pretest     | English        |1|1|1|1|0|1|1|1|1|1|1|0|0|0|1|1
 bangalore rural | hosakote | alappanahalli   |36130| G LPS UPPARAHALLI              | kannada |1557462| male   | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|0|1|0|0|0|0|0
 bangalore rural | hosakote | nelavagilu      |36072| G HPS HINDIGANALA              | kannada |1562721| female | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | doddanhulluru   |36195|         GHPS Doddanallurahalli | kannada |1561010| male   | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|0|1|0|0|1|1| NA          |0| NA          
 bangalore rural | hosakote | thavarekere     |35952| G LPS ALAGONDANAHALLI          | kannada |1558897| male   | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|0| NA          | NA          | NA          | NA          | NA          | NA          | NA          | NA          | NA          
 bangalore rural | hosakote | bilanarasapura  |36194|         GLKPS Bilanarasapura   | kannada |1561735| male   | urdu          |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | samethanahalli  |35972| G HPS MALLASANDRA              | kannada |1556918| female | kannada       |2| 2nd Pretest     | English        | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          
 bangalore rural | hosakote | kalkunte        |36110| G HPS KALKUNTE AGRAHARA        | kannada |1609125| female | kannada       |2| 2nd Pretest     | English        | NA          | NA          | NA          | NA          | NA          | NA          | NA          | NA          | NA          | NA          | NA          | NA          | NA          | NA          | NA          | NA          
 bangalore rural | hosakote | alappanahalli   |36128| G UHPS SHANKANIPURA            | urdu    |1558797| male   | urdu          |2| 2nd Pretest     | English        |0|0|1| NA          | NA          | NA          | NA          |0|1| NA          |1|1|0|1|1|0
 bangalore rural | hosakote | nandagudi       |36084| G LPS CHOKKASANDRA             | kannada |1560249| male   | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1| NA          | NA          |1|1|1|1|1|1| NA          |0|0
 bangalore rural | hosakote | hosakote town   |36248| G KGKMS TOWN                   | kannada |1563241| male   | kannada       | 2B            | 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1
 bangalore rural | hosakote | thavarekere     |35936| G HPS THAVAREKERE              | kannada |1682588| male   | kannada       | 2A            | 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | vagata          |36101| G HPS MAKANAHALLI              | kannada |1562083| female | kannada       |2| 2nd Pretest     | English        |1|1|0|0|0|0|0|1|1|0|1|0|0|0|0|0
 bangalore rural | hosakote | hosakote town   |36019| G KGMS HOSAKOTE                | kannada |1563090| male   | kannada       | 2C            | 2nd Pretest     | English        |1|1|1|1|1|1|0|1|1|1|1|1|1|0|1|1
 bangalore rural | hosakote | hosakote town   |36248| G KGKMS TOWN                   | kannada |1563288| female | kannada       | 2A            | 2nd Pretest     | English        |1|1|0|1|1|0|1|0|1|1|0|1|1|0|1|1
 bangalore rural | hosakote | jadigenahalli   |36089| G UHPS KATTIGENAHALLI          | urdu    |1562972| female | urdu          |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0
 bangalore rural | hosakote | nandagudi       |36076| G HPS NANDAGUDI                | kannada |1558929| male   | kannada       |2| 2nd Pretest     | English        |1|1|0|1|1|1|1|1|0|0|1|1|1|1|1|1
 bangalore rural | hosakote | shivanapura     |36189| GHPS SHIVANAPURA               | kannada |1558388| male   | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | doddanhulluru   |36195|         GHPS Doddanallurahalli | kannada |1561036| female | telugu        |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|0|1|0|0| NA          | NA          |0
 bangalore rural | hosakote | thavarekere     |35936| G HPS THAVAREKERE              | kannada |1607618| female | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|0|1|0|0|0|0
 bangalore rural | hosakote | kalkunte        |36111| G LPS AREHALLI                 | kannada |1556991| female | kannada       |2| 2nd Pretest     | English        |1|1|1| NA          | NA          |1|1|1| NA          | NA          | NA          |1|1|1| NA          | NA          
 bangalore rural | hosakote | kalkunte        |36116| G HPS GUNDURU                  | kannada |1558063| male   | kannada       |2| 2nd Pretest     | English        |1|1|1| NA          |1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | devanagundi     |35988| G LPS LINGADHEELAMALLASANDRA   | kannada |1560095| male   | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | samethanahalli  |35972| G HPS MALLASANDRA              | kannada |1556917| female | kannada       |2| 2nd Pretest     | English        | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          
 bangalore rural | hosakote | hosakote town   |36013| G LPS VARADAPURA               | kannada |1660225| female | urdu          |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|0
 bangalore rural | hosakote | jadigenahalli   |36089| G UHPS KATTIGENAHALLI          | urdu    |1562983| male   | urdu          |2| 2nd Pretest     | English        |1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
 bangalore rural | hosakote | doddagattinabbe |36192| GHPS CG Nabe(chikkagattinabbe) | kannada |1560873| female | urdu          |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0
 bangalore rural | hosakote | beguru          |35892| G LPS SONNEBACHANAHALLI        | kannada |1568827| male   | telugu        |2| 2nd Pretest     | English        |1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | vagata          |36101| G HPS MAKANAHALLI              | kannada |1562077| male   | kannada       |2| 2nd Pretest     | English        |1|1|1|0|0|0|0|0|0|0|1|1|0|0|0|0
 bangalore rural | hosakote | bilanarasapura  |35922| G HPS HEDAKANAHALLI            | kannada |1682620| male   | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | shivanapura     |36047| G LPS SIDDAPURA                | kannada |1683314| male   | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | alappanahalli   |36126| G LPS VENKATAPURA              | kannada |1557711| female | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | alappanahalli   |36125| G HPS LAKKONDANAHALLI          | kannada |1559415| female | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | mugbala         |36061| G LPS ATTURU                   | kannada |1561864| female | telugu        |2| 2nd Pretest     | English        |1|1|0|0|0|1|1|1|1|1|1|1|1|1|0|1
 bangalore rural | hosakote | doddanhulluru   |36225| GHPS KURUBARAHALLI             | kannada |1561266| male   | kannada       |2| 2nd Pretest     | English        | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          
 bangalore rural | hosakote | mugbala         |36213| GLPS HALASAHALLI               | kannada |1560609| female | telugu        |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | bilanarasapura  |36194|         GLKPS Bilanarasapura   | kannada |1660254| male   | urdu          |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | vagata          |36106| G LPS KAMARASANAHALLY          | kannada |1561947| female | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0
 bangalore rural | hosakote | bilanarasapura  |36194|         GLKPS Bilanarasapura   | kannada |1561689| male   | urdu          |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | doddanhulluru   |36231| GULPS CHIKKAHULLUR             | urdu    |1682813| female | urdu          |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | jadigenahalli   |35963| G LPS GONAKANAHALLI            | kannada |1562130| female | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | bendiganahalli  |36190| GHPS ANUPAHALLI                | kannada |1558620| male   | kannada       |2| 2nd Pretest     | English        |1|1|1| NA          | NA          |0|0|1|0|0|0|0|0|1|1| NA          
 bangalore rural | hosakote | jadigenahalli   |36107| G LPS BOMMANA BANDE            | kannada |1561878| female | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|0
 bangalore rural | hosakote | shivanapura     |36050| G LPS CT GOLLAHALLI            | kannada |1557984| male   | telugu        |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1| NA          |1|1|0|1|1|0
 bangalore rural | hosakote | jadigenahalli   |35970| G LPS GOVINDAPURA              | kannada |1560572| female | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|0|1|1|0|0|0|0
 bangalore rural | hosakote | samethanahalli  |35983| G HPS MUTHASANDRA              | kannada |1552624| female | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0
 bangalore rural | hosakote | thavarekere     |35949| G LPS GUGUTTAHALLI             | kannada |1560309| male   | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | shivanapura     |36043| G HPS KARAPANAHALLI            | kannada |1558213| female | telugu        |2| 2nd Pretest     | English        |1|0|0|1|1|1|1|1|0|0|1|0|0|0|0|0
 bangalore rural | hosakote | doddanhulluru   |36195|         GHPS Doddanallurahalli | kannada |1561032| male   | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|0|1|0| NA          |0|0| NA          
 bangalore rural | hosakote | thavarekere     |35953| G LPS YELACHAMANAHALLI         | kannada |1558882| female | telugu        |2| 2nd Pretest     | English        |1|1|1|1|1|1|0|1|0|1|1|1|1|0|1|1
 bangalore rural | hosakote | beguru          |35888| G HPS E. MUTHASANDRA           | kannada |1682233| male   | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|0|1|0|1|1|1|1|1
 bangalore rural | hosakote | bilanarasapura  |35927| G LPS MARASANDAHALLI           | kannada |1562876| female | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|0|1|1|0|1
 bangalore rural | hosakote | nandagudi       |36077| G UHPS NANDAGUDI               | urdu    |1681986| female | urdu          |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | devanagundi     |35999| G UHPS MEDIMALLASADNRA         | urdu    |1660831| female | urdu          |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | hosakote town   |36024| G UHPS KHAJI MAKHAN            | urdu    |1558098| female | urdu          |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|0|1|0|1|1|1|1
 bangalore rural | hosakote | devanagundi     |35996| G UHPS MUTHKURU                | urdu    |1683020| male   | urdu          |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
 bangalore rural | hosakote | samethanahalli  |35972| G HPS MALLASANDRA              | kannada |1682786| male   | kannada       |2| 2nd Pretest     | English        |1|0|0|1|1|0|1|1|0|0|0|0|1|0|0|1
 bangalore rural | hosakote | t agrahara      |35877| G LPS SIDDENAHALLI             | kannada |1692763| female | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | hosakote town   |36021| G HPS M. V. EXTN. HOSKOTE      | kannada |1557374| female | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | nandagudi       |36084| G LPS CHOKKASANDRA             | kannada |1560254| female | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1| NA          | NA          |1|0|0
 bangalore rural | hosakote | hosakote town   |36021| G HPS M. V. EXTN. HOSKOTE      | kannada |1557363| female | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0
 bangalore rural | hosakote | nandagudi       |36084| G LPS CHOKKASANDRA             | kannada |1560256| male   | kannada       |2| 2nd Pretest     | English        |1|0|0|1|1|0|0|1|0|0|1|0|0|0|0|0
 bangalore rural | hosakote | doddagattinabbe |36209| GKHPS KODIHALLI                | kannada |1682595| male   | kannada       |2| 2nd Pretest     | English        |1|1|1|0|0|0|1| NA          |1|0|1|1|1|1|1|1
 bangalore rural | hosakote | samethanahalli  |35977| G HPS BHODHANA HOSAHALLI       | kannada |1556850| male   | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|0|1|1|1|1|1|1|1|0|1
 bangalore rural | hosakote | bilanarasapura  |36194|         GLKPS Bilanarasapura   | kannada |1561728| male   | urdu          |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | thavarekere     |35942| G LPS PUJARAMANAHALLI          | kannada |1557211| male   | tamil         |2| 2nd Pretest     | English        |1|1|1|0|1|1|1|1| NA          |1|1|1|1|1|1|1
 bangalore rural | hosakote | jadigenahalli   |36107| G LPS BOMMANA BANDE            | kannada |1561874| female | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|0|1|1|1|1|0|1|0|1
 bangalore rural | hosakote | doddagattinabbe |36094| G LPS DEVASHETTYHALLI          | kannada |1562798| female | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | hosakote town   |36021| G HPS M. V. EXTN. HOSKOTE      | kannada |1557372| male   | tamil         |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | t agrahara      |36246| GHPS DODDARALAGERE             | kannada |1562316| male   | kannada       |2| 2nd Pretest     | English        |0|0|0|1|1|0|1|1|1|0|1|1|1|0|0|0
 bangalore rural | hosakote | nelavagilu      |35909| G HPS DALASAGERE               | kannada |1558685| male   | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1
 bangalore rural | hosakote | jadigenahalli   |36297| GKHPS KATTIGENAHALLI           | kannada |1682215| female | urdu          |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0
 bangalore rural | hosakote | beguru          |35888| G HPS E. MUTHASANDRA           | kannada |1557941| male   | marathi       |2| 2nd Pretest     | English        |1|1|1|0| NA          |1|1|0|0|1|1|1|0| NA          |0|0
 bangalore rural | hosakote | doddanhulluru   |36195|         GHPS Doddanallurahalli | kannada |1561025| female | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0
 bangalore rural | hosakote | kalkunte        |36113| G LPS THATTANUR                | kannada |1682298| female | kannada       |2| 2nd Pretest     | English        |1|0|0|1|1|1|1| NA          |0|1|1|1|0|1|0|1
 bangalore rural | hosakote | doddanhulluru   |36219| GHPS DODDAHULLUR               | kannada |1560791| female | telugu        |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1| NA          |1|1| NA          |1|1|1| NA          
 bangalore rural | hosakote | beguru          |35902| G HPS MALLIMAKANAPURA          | kannada |1559067| male   | telugu        |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|1
 bangalore rural | hosakote | doddagattinabbe |36211| GKLPS BHAKTARAHALLI            | kannada |1560512| female | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | mugbala         |36213| GLPS HALASAHALLI               | kannada |1560612| male   | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | doddanallala    |35950| G HPS UMMALU                   | kannada |1660861| male   | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1
 bangalore rural | hosakote | hosakote town   |36020| G HPS KURUBARAPETE             | kannada |1559181| male   | telugu        |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1
 bangalore rural | hosakote | mugbala         |36220| GHPS NIDAGHATTA                | kannada |1560846| male   | kannada       |2| 2nd Pretest     | English        |1|0|0|0|0|1|1|1|0|0|1|1|1|0|0|0
 bangalore rural | hosakote | beguru          |35894| G LPS BHEEMAKANAHALLI          | kannada |1552472| female | telugu        |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|0|1|0|0|1|0| NA          | NA          
 bangalore rural | hosakote | nandagudi       |36076| G HPS NANDAGUDI                | kannada |1558938| female | kannada       |2| 2nd Pretest     | English        |1|0|0|1|1|1|0|0|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | shivanapura     |36054| G LPS BHEEMAPURA               | kannada |1683352| male   | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
 bangalore rural | hosakote | alappanahalli   |36123| G LPS THIMMASANDRA             | kannada |1557868| female | kannada       |2| 2nd Pretest     | English        | NA          | NA          | NA          | NA          | NA          | NA          | NA          |1|0| NA          |0| NA          | NA          |0| NA          | NA          
 bangalore rural | hosakote | mugbala         |36224| GHPS MUGABALA                  | kannada |1561063| male   | urdu          |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | hosakote town   |36020| G HPS KURUBARAPETE             | kannada |1682988| male   | kannada       |2| 2nd Pretest     | English        |1|1|0|1|1|1|0|1|1|0|1|1|1|0|1|1
 bangalore rural | hosakote | devanagundi     |35993| G HPS ANUGONDANAHALLI          | kannada |1560062| female | telugu        |2| 2nd Pretest     | English        |1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | beguru          |35888| G HPS E. MUTHASANDRA           | kannada |1557923| male   | telugu        |2| 2nd Pretest     | English        | NA          |1|1|0|1|1|1|0|0|1| NA          |1|1|0|0|1
 bangalore rural | hosakote | doddanhulluru   |36198| GLPS CHOKKAHALLI               | kannada |1682667| male   | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | bilanarasapura  |35921| G UHPS BOYS BNPURA             | urdu    |1682901| male   | urdu          |2| 2nd Pretest     | English        |1|1|1|1|1|0|0|1|1|1|1|1|1|0|0|0
 bangalore rural | hosakote | nelavagilu      |36073| G UHPS HINIDGANALA             | urdu    |1563001| female | urdu          |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | samethanahalli  |35973| G LPS KORALURU                 | kannada |1660731| male   | urdu          |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | thavarekere     |35936| G HPS THAVAREKERE              | kannada |1557095| male   | kannada       | 2A            | 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | beguru          |35886| G HPS KAMBALIPURA              | kannada |1557730| female | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1| NA          | NA          | NA          
 bangalore rural | hosakote | thavarekere     |35942| G LPS PUJARAMANAHALLI          | kannada |1682478| male   | telugu        |2| 2nd Pretest     | English        |1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | vagata          |36088| G MPS THARABAHALLI             | kannada |1560356| female | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|0
 bangalore rural | hosakote | t agrahara      |36241| GHPS BAVAPURA                  | kannada |1562250| female | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|0
 bangalore rural | hosakote | shivanapura     |36053| G LPS GANJARLAHALLI            | kannada |1558468| male   | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | thavarekere     |35936| G HPS THAVAREKERE              | kannada |1607569| male   | kannada       |2| 2nd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | thavarekere     |35938| G LPS BEERAHALLI               | kannada |1682486| male   | kannada       |2| 2nd Pretest     | English        |1|1|1|0|1|1|1|1|0|1|1|1|1|1|1|1
