DIST|BLK|CLUST|SCODE|SNAME|MOI|STUID|CSEX|CLANG|CLASS|ASSMNTNAME|PROGNAME|1| 2a       | 2b       | 3a       | 3b       | 4a       | 4b       | 5a       | 5b       | 5c       |6| 7a       | 7b       | 8a       | 8b       | 8c       | 9a       | 9b       | 9c       | 9d       | 10a      | 10b      | 10c      
 bangalore rural | hosakote | hosakote town   |36019| G KGMS HOSAKOTE                | kannada |1559651| male   | kannada       | 4B            | 4th Pretest     | English        |1|1|1|0|0|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1
 bangalore rural | hosakote | doddanhulluru   |36199| GLPS CHIKKAHULLUR              | kannada |1559431| female | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1| NA          |0|1|1|1|1|0|1|1|1|1|1
 bangalore rural | hosakote | samethanahalli  |35980| G LPS HAROHALLI                | kannada |1559877| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | doddanallala    |35954| G LPS APPASANDRA               | kannada |1563102| female | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | beguru          |35902| G HPS MALLIMAKANAPURA          | kannada |1559108| male   | kannada       |4| 4th Pretest     | English        |1|1|1| NA          |1|1| NA          |1|1|1|1|0|0|1|1|1|1| NA          |1|1|1|1|1
 bangalore rural | hosakote | bendiganahalli  |36030| G LPS CHIKKA ARALAGERE         | kannada |1558514| female | kannada       |4| 4th Pretest     | English        |1|1|1|0|1| NA          |1|1|1|1|1| NA          | NA          |1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | thavarekere     |35936| G HPS THAVAREKERE              | kannada |1607661| female | telugu        |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | thavarekere     |35937| G LPS LINGAPURA                | kannada |1682461| female | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1
 bangalore rural | hosakote | vagata          |36100| G LPS HUNASEHALLI              | kannada |1566423| female | kannada       |4| 4th Pretest     | English        |1|1|0|0|1|0|1|1|0|1|0|0|0|1|1|1|1|1| NA          |1|1|1|1
 bangalore rural | hosakote | hosakote town   |36021| G HPS M. V. EXTN. HOSKOTE      | kannada |1557450| female | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | beguru          |35889| G LPS CHIKKA KOLIGA            | kannada |1561809| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1
 bangalore rural | hosakote | shivanapura     |36047| G LPS SIDDAPURA                | kannada |1558011| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1
 bangalore rural | hosakote | shivanapura     |36054| G LPS BHEEMAPURA               | kannada |1560594| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | hosakote town   |36013| G LPS VARADAPURA               | kannada |1552440| male   | tamil         |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | mugbala         |36206| GHPS KOMBALIGANAHALLI          | kannada |1559974| female | telugu        |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|0|1|1|1
 bangalore rural | hosakote | samethanahalli  |35973| G LPS KORALURU                 | kannada |1660777| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | doddanhulluru   |36219| GHPS DODDAHULLUR               | kannada |1560823| female | telugu        |4| 4th Pretest     | English        |1|1|1|1|1|0|0|1|1|1|0| NA          | NA          |1|1|1|0|0|0|1|0|0|0
 bangalore rural | hosakote | bilanarasapura  |36229| GLPS ULAVANAHALLI              | kannada |1561508| female | telugu        |4| 4th Pretest     | English        |1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | nandagudi       |36081| G HPS N.HOSAHALLI              | kannada |1558873| female | kannada       |4| 4th Pretest     | English        |1|1|1|1|0|0|0|1|0|1|0|1|1|1|1|1|1|1|1|1|1|1|0
 bangalore rural | hosakote | nandagudi       |36076| G HPS NANDAGUDI                | kannada |1558998| female | kannada       |4| 4th Pretest     | English        |1|1|1|0|0|0|1|1|1|1|1| NA          |1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | mugbala         |36224| GHPS MUGABALA                  | kannada |1561152| male   | tamil         |4| 4th Pretest     | English        |1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | jadigenahalli   |35963| G LPS GONAKANAHALLI            | kannada |1562152| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1| NA          |1|1|1|1|1
 bangalore rural | hosakote | samethanahalli  |35976| G HPS SAMETHANAHALLI           | kannada |1688924| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | doddanallala    |36237| GHPS DODDENAHALLI              | kannada |1562144| male   | kannada       |4| 4th Pretest     | English        |1|0|1|1|1|1|0|1|0|1|1|0|0|1|1|1|0|1|0|1|0|0|0
 bangalore rural | hosakote | nandagudi       |36082| G UHPS N HOSAHALLI             | urdu    |1561082| male   | urdu          |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | hosakote town   |36019| G KGMS HOSAKOTE                | kannada |1559609| female | kannada       | 4A            | 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | hosakote town   |36248| G KGKMS TOWN                   | kannada |1563383| female | tamil         | 4D            | 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|0|1|1|0|1|0|1|1|1|1|1|1
 bangalore rural | hosakote | bilanarasapura  |36230| GLPS OBALAHALLI                | kannada |1561573| female | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | shivanapura     |36046| G ULPS DODDENAHALLI            | urdu    |1566371| female | urdu          |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | beguru          |35888| G HPS E. MUTHASANDRA           | kannada |1682260| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1
 bangalore rural | hosakote | doddanallala    |35954| G LPS APPASANDRA               | kannada |1563109| male   | kannada       |4| 4th Pretest     | English        |1|1|0|1|1|1|1|0|0|1|0|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | hosakote town   |36016| G LPS AMBEDKER NAGARA          | kannada |1566220| female | urdu          |4| 4th Pretest     | English        |1|0|1|1| NA          |0|0|1|1|1|1|1|1|1|1|1|1| NA          |1|1|1|1|1
 bangalore rural | hosakote | doddanhulluru   |36203| GHPS DASARAHALLI               | kannada |1559758| male   | tamil         |4| 4th Pretest     | English        |1|1|1|1|0| NA          | NA          | NA          |0|1| NA          | NA          | NA          |0|0|0| NA          | NA          | NA          | NA          |1|1|1
 bangalore rural | hosakote | bendiganahalli  |36186| GLPS CHEEMASANDRA              | kannada |1558287| male   | kannada       |4| 4th Pretest     | English        | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          
 bangalore rural | hosakote | samethanahalli  |35984| G LPS BELLI KERE               | kannada |1559498| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1
 bangalore rural | hosakote | hosakote town   |36021| G HPS M. V. EXTN. HOSKOTE      | kannada |1683154| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | kalkunte        |36118| G LPS MARANAGERE               | kannada |1566541| male   | telugu        |4| 4th Pretest     | English        |1|1|1|1|1|1|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | beguru          |35891| G HPS BEGURU                   | kannada |1552589| female | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1| NA          |1|1|0|0| NA          | NA          |1|1|1|0|0| NA          | NA          |1|1|1
 bangalore rural | hosakote | jadigenahalli   |35969| G HPS KB HOSAHALLI             | kannada |1562226| male   | kannada       |4| 4th Pretest     | English        |1|1|0|1|1|1|0|1|1|1|0|1|0|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | t agrahara      |36240| GHPS T AGRAHARA                | kannada |1562269| female | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|0|1|1|0|1|1|1|1|1|0|0|1|1|1
 bangalore rural | hosakote | bilanarasapura  |35927| G LPS MARASANDAHALLI           | kannada |1560778| female | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|0|1|1|1|1|1|1
 bangalore rural | hosakote | hosakote town   |36021| G HPS M. V. EXTN. HOSKOTE      | kannada |1683155| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1| NA          | NA          | NA          | NA          | NA          | NA          | NA          |1|1|1|1|0|1|1|1|1|1
 bangalore rural | hosakote | nandagudi       |36074| G LPS BANAHALLI                | kannada |1559455| female | tamil         |4| 4th Pretest     | English        |1|1|1|1|1|0|0|1|1|1|1|0|1|1|1|1|1|0|1|1|1|1|1
 bangalore rural | hosakote | t agrahara      |36244| GHPS GOLLAHALLI                | kannada |1562347| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|0|1|1|1|1|0|0| NA          |1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | vagata          |36104| G HPS KHAJI HOSAHALLI          | kannada |1564787| female | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | bilanarasapura  |36194|         GLKPS Bilanarasapura   | kannada |1561806| female | urdu          |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | bilanarasapura  |36196| GLPS DINNEKORATI               | kannada |1559303| female | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | nelavagilu      |35918| G LPS MUDDANAHALLI             | kannada |1560193| male   | telugu        |4| 4th Pretest     | English        |1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | shivanapura     |36041| G LPS KORADAHALLI              | kannada |1557208| female | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|0|1|0|0|0|0|1|1|1|1|0|0|0|0|0|1
 bangalore rural | hosakote | alappanahalli   |36121| G HPS KAMMASANDRA              | kannada |1557917| female | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | bendiganahalli  |36185| GHPS E - HOSAHALLI             | kannada |1558178| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|0|0|0|0|0|0|1|1|1|1|1|0|1|1|1|1
 bangalore rural | hosakote | bilanarasapura  |36230| GLPS OBALAHALLI                | kannada |1561580| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | shivanapura     |36043| G HPS KARAPANAHALLI            | kannada |1558241| female | telugu        |4| 4th Pretest     | English        |1|1|1|0|0|0|0|1|1|0|0|0|0|1|1|1|1| NA          | NA          | NA          |1|1|1
 bangalore rural | hosakote | nandagudi       |36085| G LPS KONDRAHALLI              | kannada |1682396| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | devanagundi     |36001| G ULPS HANDENAHALLI            | urdu    |1683048| female | urdu          |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | devanagundi     |35987| G LPS DEVALAPURA               | kannada |1561543| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|0|1|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | nandagudi       |36085| G LPS KONDRAHALLI              | kannada |1682391| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1|0|1|1|1|1|1
 bangalore rural | hosakote | jadigenahalli   |35971| G HPS KOLATHURU                | kannada |1560139| female | kannada       |4| 4th Pretest     | English        |1|1|0|1|1|0|0|1|1|1|0|0|0|1|1|1|1|0|1|0|1|1|1
 bangalore rural | hosakote | doddagattinabbe |36226| GLPS GANAGALU                  | kannada |1561386| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|0|0|1|1|1
 bangalore rural | hosakote | bilanarasapura  |35915| G HPS KARAHALLI                | kannada |1562777| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1| NA          |1|1|1|1|1
 bangalore rural | hosakote | shivanapura     |36040| G LPS MOTHAKADAHALLI           | kannada |1566364| male   | telugu        |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1
 bangalore rural | hosakote | vagata          |36088| G MPS THARABAHALLI             | kannada |1560406| female | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1
 bangalore rural | hosakote | alappanahalli   |36133| G LPS KALLAHALLI               | kannada |1557255| female | kannada       |4| 4th Pretest     | English        | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          
 bangalore rural | hosakote | vagata          |36092| G HPS VAGATA                   | kannada |1660803| male   | kannada       |4| 4th Pretest     | English        |1|0|1|1|0|0|1|1|0|1|0|0|0|1|1|1|0|0|0|0|1|1|1
 bangalore rural | hosakote | hosakote town   |36019| G KGMS HOSAKOTE                | kannada |1568240| male   | urdu          | 4D            | 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1
 bangalore rural | hosakote | hosakote town   |36248| G KGKMS TOWN                   | kannada |1563376| female | urdu          | 4D            | 4th Pretest     | English        | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          
 bangalore rural | hosakote | mugbala         |36224| GHPS MUGABALA                  | kannada |1561163| male   | tamil         |4| 4th Pretest     | English        |1|1|1| NA          |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | samethanahalli  |35981| G LPS AJJAGONDANAHALLI         | kannada |1561501| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|0|1|1|1|0|0|0|1|1|1|1|0|1|1|1|1|1
 bangalore rural | hosakote | doddanallala    |35960| G LPS DODDATHAGGALI            | kannada |1566626| female | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | thavarekere     |35932| G ULPS YELACHAHALLI            | urdu    |1566436| female | urdu          |4| 4th Pretest     | English        |1|1|1|1|1|0|0|0|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | thavarekere     |35942| G LPS PUJARAMANAHALLI          | kannada |1557230| male   | tamil         |4| 4th Pretest     | English        |1|1|1|1|1|0|1|1|1|0|0|1|0|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | mugbala         |35943| G LPS CHINANDAHALLI            | kannada |1561858| female | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|0|0|0|0|0|0|0|1|1|1|1|0|0|1|1|1|1
 bangalore rural | hosakote | mugbala         |35945| G LPS DABBAGUNTAHALLI          | kannada |1566600| female | kannada       |4| 4th Pretest     | English        |1|0|1|0|0|0|0|0|0|0|0|0|0|1|1|1|0|0|0|0|0|0|0
 bangalore rural | hosakote | samethanahalli  |35975| G HPS THIRUMALA SHETTIHALLI    | kannada |1559905| female | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | samethanahalli  |35980| G LPS HAROHALLI                | kannada |1559872| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | doddagattinabbe |36207| GKLPS BISNAHALLI               | kannada |1560052| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | alappanahalli   |36132| G LPS CHOWLU THOTA             | kannada |1552808| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | jadigenahalli   |35957| G HPS ATTHIVATTA               | kannada |1558315| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|0| NA          | NA          |1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | alappanahalli   |36123| G LPS THIMMASANDRA             | kannada |1682398| male   | urdu          |4| 4th Pretest     | English        | NA          |1|0|1|1|0| NA          | NA          |0|0| NA          | NA          | NA          |1|1|1| NA          | NA          | NA          | NA          |0|0|0
 bangalore rural | hosakote | bilanarasapura  |35915| G HPS KARAHALLI                | kannada |1562789| female | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | thavarekere     |36273| GLPS BANDAHALLI                | kannada |1645473| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1| NA          | NA          |1|1|1|1|0|0|1|1|1|1
 bangalore rural | hosakote | mugbala         |36222| GHPS VOLAGERE PURA             | kannada |1560940| male   | telugu        |4| 4th Pretest     | English        |1|1|0|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|1|0|1|1|1
 bangalore rural | hosakote | nandagudi       |36084| G LPS CHOKKASANDRA             | kannada |1560274| female | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | kalkunte        |36117| G LPS SIDDANAPURA              | kannada |1566211| female | telugu        |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | hosakote town   |36020| G HPS KURUBARAPETE             | kannada |1682965| female | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|0|1|1|0|1|1|1|1|0|0|0|0|1|1|1
 bangalore rural | hosakote | samethanahalli  |35974| G HPS NADUVATTI                | kannada |1559846| female | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | beguru          |35894| G LPS BHEEMAKANAHALLI          | kannada |1552515| female | telugu        |4| 4th Pretest     | English        |1|1|1|1|1|0|1|1|1|1|0| NA          | NA          |1|1|1|1|0|0|0|1|1|1
 bangalore rural | hosakote | hosakote town   |36019| G KGMS HOSAKOTE                | kannada |1660328| female | kannada       | 4D            | 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1| NA          |0|0|1|1|0|0|0|1|1|1
 bangalore rural | hosakote | hosakote town   |36023| G UHPS HOSAKOTE                | urdu    |1563200| female | urdu          |4| 4th Pretest     | English        |1|1|1|1|0|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | thavarekere     |35942| G LPS PUJARAMANAHALLI          | kannada |1557229| male   | tamil         |4| 4th Pretest     | English        |0|1|1|1|1|0|0|0|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | nandagudi       |36076| G HPS NANDAGUDI                | kannada |1558982| female | kannada       |4| 4th Pretest     | English        |1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1
 bangalore rural | hosakote | mugbala         |36224| GHPS MUGABALA                  | kannada |1561213| female | telugu        |4| 4th Pretest     | English        |1|0|1|0|0|1|1|1|1|1|1|1|1| NA          | NA          | NA          | NA          | NA          | NA          | NA          | NA          | NA          | NA          
 bangalore rural | hosakote | doddanhulluru   |36203| GHPS DASARAHALLI               | kannada |1559742| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|0|0|1|0|1| NA          | NA          | NA          |1|1|1|0|0| NA          |0|1|1|1
 bangalore rural | hosakote | bilanarasapura  |36194|         GLKPS Bilanarasapura   | kannada |1561826| male   | urdu          |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | samethanahalli  |35982| G LPS KOTTURU                  | kannada |1561437| female | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | jadigenahalli   |36107| G LPS BOMMANA BANDE            | kannada |1561896| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1
 bangalore rural | hosakote | alappanahalli   |36132| G LPS CHOWLU THOTA             | kannada |1682276| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|0|0|0|0|0|0|1|1|1|1|1|0|1|1|1|1
 bangalore rural | hosakote | devanagundi     |35987| G LPS DEVALAPURA               | kannada |1561537| female | kannada       |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | jadigenahalli   |36297| GKHPS KATTIGENAHALLI           | kannada |1623018| male   | urdu          |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | beguru          |35886| G HPS KAMBALIPURA              | kannada |1682127| male   | kannada       |4| 4th Pretest     | English        |1|1|1|1|1| NA          |0|1|1|1| NA          | NA          | NA          |1|1|1|0|0|0|0|1|1|1
 bangalore rural | hosakote | beguru          |35888| G HPS E. MUTHASANDRA           | kannada |1557971| female | telugu        |4| 4th Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
