DIST|BLK|CLUST|SCODE|SNAME|MOI|STUID|CSEX|CLANG|CLASS|ASSMNTNAME|PROGNAME|1| 2a       | 2b       | 3a       | 3b       | 4a       | 4b       | 5a       | 5b       | 6a       | 6b       | 6c       | 7a       | 7b       | 7c       | 7d       | 7e       | 7f       | 8a       | 8b       | 8c       | 9a       | 9b       | 9c       | 9d       
 bangalore rural | hosakote | hosakote town   |36248| G KGKMS TOWN                   | kannada |1563361| female | tamil         | 3D            | 3rd Pretest     | English        |1|1|1|1|1|0|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | doddanhulluru   |36219| GHPS DODDAHULLUR               | kannada |1682538| female | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | doddagattinabbe |36227| GHPS KANNURHALLI               | kannada |1561447| male   | kannada       |3| 3rd Pretest     | English        |1|1|1|1|0|0|0|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | hosakote town   |36019| G KGMS HOSAKOTE                | kannada |1568198| female | kannada       | 3D            | 3rd Pretest     | English        |1|1|1|0|1|1|1|1|0|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | beguru          |35894| G LPS BHEEMAKANAHALLI          | kannada |1552474| female | telugu        |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|0|0|1|1| NA          |1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | nelavagilu      |36072| G HPS HINDIGANALA              | kannada |1562755| male   | telugu        |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | bendiganahalli  |36070| GHPS ITTASANDRA                | kannada |1561928| male   | telugu        |3| 3rd Pretest     | English        |1|1|1|0|1|1|1|0|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | kalkunte        |36111| G LPS AREHALLI                 | kannada |1556997| male   | telugu        |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | bilanarasapura  |36194|         GLKPS Bilanarasapura   | kannada |1561792| female | urdu          |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | mugbala         |36206| GHPS KOMBALIGANAHALLI          | kannada |1559934| male   | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | t agrahara      |36239| GLPS BHUVANAHALLI              | kannada |1562197| male   | telugu        |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | beguru          |35888| G HPS E. MUTHASANDRA           | kannada |1557951| male   | urdu          |3| 3rd Pretest     | English        |1|1|1|1|1|0|1|1|1|0| NA          |1|0|1|1|1|1|1|1|1|1|1| NA          |1|1
 bangalore rural | hosakote | hosakote town   |36248| G KGKMS TOWN                   | kannada |1563404| female | kannada       | 3C            | 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | devanagundi     |35990| G LPS D.MEDAHALLI              | kannada |1609106| male   | kannada       |3| 3rd Pretest     | English        |1|1|1|1| NA          |1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|0|1|0
 bangalore rural | hosakote | alappanahalli   |36130| G LPS UPPARAHALLI              | kannada |1557477| male   | kannada       |3| 3rd Pretest     | English        |1|1|1|0|0|1|1| NA          | NA          |0|0|1|1|1|1|0|1|1|0| NA          | NA          | NA          | NA          | NA          | NA          
 bangalore rural | hosakote | doddanallala    |36237| GHPS DODDENAHALLI              | kannada |1695375| male   | kannada       |3| 3rd Pretest     | English        |1|1|0|1|1|1|1|0|0|1|1|0|1|1|1|1|1|0|1|1|1|1|1|1|1
 bangalore rural | hosakote | thavarekere     |35936| G HPS THAVAREKERE              | kannada |1557135| male   | kannada       | 3B            | 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | nelavagilu      |35912| G HPS NELAVAGILU               | kannada |1557517| male   | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1| NA          |1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | t agrahara      |36241| GHPS BAVAPURA                  | kannada |1562256| female | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1| NA          |1|1
 bangalore rural | hosakote | doddanhulluru   |36195|         GHPS Doddanallurahalli | kannada |1561052| female | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|1|1| NA          | NA          |1|0|0|1|1|0|1|1|1| NA          | NA          | NA          |0| NA          | NA          |1
 bangalore rural | hosakote | thavarekere     |35949| G LPS GUGUTTAHALLI             | kannada |1560323| male   | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | doddanallala    |35960| G LPS DODDATHAGGALI            | kannada |1695074| male   | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | hosakote town   |36248| G KGKMS TOWN                   | kannada |1683264| female | kannada       | 3C            | 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | alappanahalli   |36125| G HPS LAKKONDANAHALLI          | kannada |1559420| male   | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | bendiganahalli  |36186| GLPS CHEEMASANDRA              | kannada |1558269| male   | kannada       |3| 3rd Pretest     | English        |1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | doddanallala    |35960| G LPS DODDATHAGGALI            | kannada |1566618| male   | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | shivanapura     |36043| G HPS KARAPANAHALLI            | kannada |1558231| male   | telugu        |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|0|0|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | hosakote town   |36013| G LPS VARADAPURA               | kannada |1552391| female | kannada       |3| 3rd Pretest     | English        | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          | AB          
 bangalore rural | hosakote | mugbala         |36224| GHPS MUGABALA                  | kannada |1561143| female | telugu        |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | t agrahara      |35878| G LPS BETTAHALLI               | kannada |1660280| male   | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0
 bangalore rural | hosakote | beguru          |35885| G LPS M.SATHYAVARA             | kannada |1559703| male   | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | samethanahalli  |35973| G LPS KORALURU                 | kannada |1660765| male   | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | hosakote town   |36021| G HPS M. V. EXTN. HOSKOTE      | kannada |1557406| male   | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | shivanapura     |36048| G LPS GADIGENAHALLI            | kannada |1559388| female | tamil         |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | shivanapura     |36044| G HPS K SATHYAVARA             | kannada |1683387| male   | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | samethanahalli  |35975| G HPS THIRUMALA SHETTIHALLI    | kannada |1682736| female | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | thavarekere     |35941| G LPS GANGAPURA                | kannada |1568829| female | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1| NA          |0
 bangalore rural | hosakote | doddanhulluru   |36201| GHPS SOMAPURA                  | kannada |1559513| female | telugu        |3| 3rd Pretest     | English        |1|1|1|1|1|1|1| NA          |0|1|1| NA          |1|1|1|1|1|1|1|1|1|1| NA          |1| NA          
 bangalore rural | hosakote | bendiganahalli  |36187| GLPS RAMAGOVINDAPURA           | kannada |1558329| male   | telugu        |3| 3rd Pretest     | English        |1|1|1|1|1|1|1| NA          | NA          |0|1|1|1|1|1|1|1|1|1|1|1|1|0|1|0
 bangalore rural | hosakote | mugbala         |35945| G LPS DABBAGUNTAHALLI          | kannada |1566577| female | kannada       |3| 3rd Pretest     | English        |1|0|0|0|0|0|0|0|0|1|0|0|1|1|1|1|1|1|1|1|1| NA          | NA          | NA          | NA          
 bangalore rural | hosakote | vagata          |36104| G HPS KHAJI HOSAHALLI          | kannada |1564808| male   | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | t agrahara      |36246| GHPS DODDARALAGERE             | kannada |1562322| male   | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | doddagattinabbe |36094| G LPS DEVASHETTYHALLI          | kannada |1562804| female | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | hosakote town   |36019| G KGMS HOSAKOTE                | kannada |1568210| female | kannada       | 3D            | 3rd Pretest     | English        |1|1|1|0|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | samethanahalli  |35974| G HPS NADUVATTI                | kannada |1559805| male   | kannada       |3| 3rd Pretest     | English        |1|0|0|1| NA          |0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | bilanarasapura  |35915| G HPS KARAHALLI                | kannada |1682698| male   | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|0|1|0|0|1|1|1|1|1|1|1|1|1|1| NA          |0|1
 bangalore rural | hosakote | shivanapura     |36050| G LPS CT GOLLAHALLI            | kannada |1557989| male   | telugu        |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | kalkunte        |36118| G LPS MARANAGERE               | kannada |1682208| male   | kannada       |3| 3rd Pretest     | English        | NA          |1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|0|1|1
 bangalore rural | hosakote | bilanarasapura  |36194|         GLKPS Bilanarasapura   | kannada |1694929| male   | urdu          |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | hosakote town   |36023| G UHPS HOSAKOTE                | urdu    |1563198| female | urdu          |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | shivanapura     |36189| GHPS SHIVANAPURA               | kannada |1558426| female | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | alappanahalli   |36127| G LPS VABHASANDRA              | kannada |1557856| male   | kannada       |3| 3rd Pretest     | English        | NA          |1|0|1|1|1|1|0| NA          | NA          |1|0|1|1|1|1|1|1|1|1|1| NA          | NA          | NA          | NA          
 bangalore rural | hosakote | kalkunte        |36118| G LPS MARANAGERE               | kannada |1566460| female | telugu        |3| 3rd Pretest     | English        |1|0| NA          |1|1|1| NA          |1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1
 bangalore rural | hosakote | vagata          |36088| G MPS THARABAHALLI             | kannada |1560381| female | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | shivanapura     |36050| G LPS CT GOLLAHALLI            | kannada |1557992| male   | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | vagata          |36104| G HPS KHAJI HOSAHALLI          | kannada |1564810| male   | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | vagata          |36106| G LPS KAMARASANAHALLY          | kannada |1564796| female | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | nandagudi       |36074| G LPS BANAHALLI                | kannada |1559448| male   | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | hosakote town   |36019| G KGMS HOSAKOTE                | kannada |1559649| female | kannada       | 3B            | 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | bilanarasapura  |35916| G HPS KORATI                   | kannada |1682715| male   | kannada       |3| 3rd Pretest     | English        |1|1|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | shivanapura     |36189| GHPS SHIVANAPURA               | kannada |1558405| female | kannada       |3| 3rd Pretest     | English        |1|1|1|0|0|0|0|0|0|0|1|1|1|1|0|1|1|1|1|0|0|1|1|1|0
 bangalore rural | hosakote | alappanahalli   |36128| G UHPS SHANKANIPURA            | urdu    |1558817| female | urdu          |3| 3rd Pretest     | English        |1|0|0|1|0|1|1| NA          |0| NA          |1|1|1| NA          |1|1| NA          |1|0|0|1|1| NA          | NA          |1
 bangalore rural | hosakote | nandagudi       |36081| G HPS N.HOSAHALLI              | kannada |1558854| female | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | samethanahalli  |35975| G HPS THIRUMALA SHETTIHALLI    | kannada |1559892| female | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | samethanahalli  |35981| G LPS AJJAGONDANAHALLI         | kannada |1561462| male   | kannada       |3| 3rd Pretest     | English        |1|1|1|1| NA          |1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | nandagudi       |36081| G HPS N.HOSAHALLI              | kannada |1558860| female | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | nelavagilu      |35914| G ULPS K.SHETTYHALLI           | urdu    |1683129| male   | urdu          |3| 3rd Pretest     | English        |1|1|0|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | shivanapura     |36189| GHPS SHIVANAPURA               | kannada |1558425| female | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | devanagundi     |35986| G HPS DODDA DUNNASANDRA        | kannada |1561749| female | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|1
 bangalore rural | hosakote | hosakote town   |36013| G LPS VARADAPURA               | kannada |1552376| female | urdu          |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | bendiganahalli  |36190| GHPS ANUPAHALLI                | kannada |1558627| female | kannada       |3| 3rd Pretest     | English        |1|0|1|0|1|1|1| NA          | NA          |0|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | samethanahalli  |35981| G LPS AJJAGONDANAHALLI         | kannada |1561450| female | kannada       |3| 3rd Pretest     | English        |1|1|0|1|1|0|1|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|0|0|1
 bangalore rural | hosakote | samethanahalli  |35974| G HPS NADUVATTI                | kannada |1559813| male   | kannada       |3| 3rd Pretest     | English        |1|1| NA          |1|1|1|1|1| NA          |1|0|1|1|1|1|1|1|1|1|1|1| NA          | NA          | NA          | NA          
 bangalore rural | hosakote | kalkunte        |36110| G HPS KALKUNTE AGRAHARA        | kannada |1609149| female | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | thavarekere     |35936| G HPS THAVAREKERE              | kannada |1557123| female | kannada       | 3B            | 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | doddagattinabbe |36007| G LPS S. GUTTAHALLI            | kannada |1562851| female | kannada       |3| 3rd Pretest     | English        |1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 bangalore rural | hosakote | thavarekere     |35936| G HPS THAVAREKERE              | kannada |1557149| female | kannada       | 3A            | 3rd Pretest     | English        |1|1|1|1|1|1|1|1|0|1|0|1|0|1|1|0|1|1|1|1|1|1|0|1|1
