School_code|School_name|District_name
29010204901|GOVT. COMP. HIGH SCHOOL, HANNIKERI|BELGAUM                                           
29010205201|MMRD SCHOOL HOOLIKATTI|BELGAUM                                           
29010205202|GOVT. HIGH SCHOOL, HOOLIKATTI|BELGAUM                                           
29010205401|GOVT. HIGH SCHOOL, HIRENANDIHALLI|BELGAUM                                           
29010205601|G H S,  HANABARAHATTI|BELGAUM                                           
29010206401|SVK GOVT. HIGH SCHOOL, KAARAVALLI|BELGAUM                                           
29010206701|RANI CHANNAMMA MEMORIAL ROTARY SCHOOL, KITTUR|BELGAUM                                           
29010206702|SBM, GOVT COMP PU COLLEGE, KITTUR|BELGAUM                                           
29010206703|GOVT. COMP. URDU HIGH SCHOOL, KITTUR|BELGAUM                                           
29010206704|S.G. HIGH SCHOOL, KITTUR|BELGAUM                                           
29010206706|GOVT. PU COLLEGE, KITTUR (PUC)|BELGAUM                                           
29010206707|KRCR GIRLS PU COLLEGE, KITTUR (PUC)|BELGAUM                                           
29010206708|KNVV PU COLLEGE, KITTUR (PUC)|BELGAUM                                           
29010206801|HOSA PROUDHA SHALE, KALABHAVI|BELGAUM                                           
29010207001|GOVT. COMP. HIGH SCHOOL, KENGANUR|BELGAUM                                           
29010207101|GOVT. HIGH SCHOOL, KATRIDADDI|BELGAUM                                           
29010207201|GOVT. HIGH SCHOOL, KHODANPUR|BELGAUM                                           
29010207701|GOCT. COMP. HIGH SCHOOL, LAKKUNDI|BELGAUM                                           
29010207901|S. K. COMP PU COLLEGE, MK HUBLI|BELGAUM                                           
29010207902|AL AMEEN URDU HIGH SCHOOL, VIDYA NAGAR, MK HUBLI.|BELGAUM                                           
29010207903|SHRI KALAMESHWAR PU COLLEGE, MK HUBLI (PUC)|BELGAUM                                           
29010208201|GOVT. COMP. HIGH SCHOOL, MARIKATTI|BELGAUM                                           
29010208601|GOVT HIGH SCHOOL, MUGABASAV|BELGAUM                                           
29010208701|GOVT. COMP HIGH SCHOOL, MALLAPUR KN|BELGAUM                                           
29010209001|GOVT. COMP. HIGH SCHOOL, MEKALAMARADI|BELGAUM                                           
29010209101|GOVT. HIGH SCHOOL, MURAKIBHAVI|BELGAUM                                           
29010209301|SHRI SHIVABASAVESHWAR HIGH SCHOOL, NAGANUR|BELGAUM                                           
29010209302|GOVT. PU COLLEGE, NAGANUR (PUC)|BELGAUM                                           
29010209401|B. D. INAMDAR COMP JR. COLLEGE, NEGINAHAL|BELGAUM                                           
29010209402|NEGINAHAL PU COLLEGE, NEGINAHAL (PUC)|BELGAUM                                           
29010209403|BDI COMP JR COLLEGE NEGINHAL (PUC)|BELGAUM                                           
29010209801|GOVT. HIGH SCHOOL, NESARGI|BELGAUM                                           
29010209802|VIDYA MANDIR HIGH SCHOOL, NESARGI|BELGAUM                                           
29010209803|GOVT. INDEPENDENT PU COLLEGE NESARGI (PUC)|BELGAUM                                           
29010210101|S. B. HIGH SCHOOL, PATTIHAL KB|BELGAUM                                           
29010210201|GOVT. HIGH SCHOOL, SANIKOPP|BELGAUM                                           
29010210501|SMK HIGH SCHOOL, SANGOLLI|BELGAUM                                           
29010210901|GOVT. COMP. HIGH SCHOOL, SUTAGATTI|BELGAUM                                           
29010211101|RES HIGH SCHOOL, SAMPGAON|BELGAUM                                           
29010211102|GOVT. PU COLLEGE, SAMPGAON (PUC)|BELGAUM                                           
29010211201|GOVT. HIGH SCHOOL, TURAMARI|BELGAUM                                           
29010211301|SNVVSS BS JAKATI HIGH SCHOOL, TIGADI|BELGAUM                                           
29010211701|GOVT. COMP. HIGH SCHOOL, TURAKARSHIGIHALLI|BELGAUM                                           
29010211901|S. R. HIGH SCHOOL, UDIKERI|BELGAUM                                           
29010212201|GOVT. PU COLLEGE, HS SECTION, VANNUR|BELGAUM                                           
29010212202|GOVT. PU COLLEGE, VANNUR (PUC)|BELGAUM                                           
29010212301|GOVT. PU COLLEGE VAKKUND|BELGAUM                                           
29010212302|GOVT. PU COLLEGE, VAKKUND (PUC)|BELGAUM                                           
29010212701|GOVT. PU COLLEGE, DODAWAD PUC|BELGAUM                                           
29010212901|GOVT. HIGH SCHOOL, NAYANAGAR|BELGAUM                                           
29010213101|SHRI GURUDEV ATMANAND GOVT. INDEPENDENT PU COLLEGE, GOVANAKOPPA (PUC)|BELGAUM                                           
29010213201|SHRI RAMLINGESHWAR HIGH SCHOOL, HOSAKOTTI|BELGAUM                                           
29010213501|GOVT. HIGH SCHOOL, MASTMARDI|BELGAUM                                           
29010300101|SMT NEMAVVA KUDACHI HIGH SCHOOL, MAJAGAON, BELGAUM|BELGAUM                                           
29010300102|SMT NEMAVVA KUDACHI COMP, PU COLLEGE,  MAJAGAON, BELGAUM (PUC)|BELGAUM                                           
29010300201|KLESS GA CAMP PU COLLEGE, COLLEGE RD, BELGAUM (PUC)|BELGAUM                                           
29010300301|ST PAULS HIGH SCHOOL, BC 101/A, CAMP, BELGAUM|BELGAUM                                           
29010300302|JOSEPHS CONVENT HIGH SCHOOL, CAMP, BELGAUM|BELGAUM                                           
29010300303|VANITA VIDYALAYA ENG MED HS, COL RD, BELGAUM|BELGAUM                                           
29010300401|VANITA VIDYALAYA KAN/MAR HIGH SCHOOL, COLLEGE RD, BELGAUM|BELGAUM                                           
29010300402|XAVIERS ENGLISH MEDIUM HIGH SCHOOL, BC 149, CAMP, BELGAUM|BELGAUM                                           
29010300403|BEYNON SMITH HIGH SCHOOL, CAMP, BELGAUM|BELGAUM                                           
29010300404|VANITA VIDYALAYA COMP PU GIRLS COLLEGE, BELGAUM (PUC)|BELGAUM                                           
29010300405|ST XAVIERS PU COLLEGE, CAMP BELGAUM (PUC)|BELGAUM                                           
29010300501|ISLAMIYA GIRLS HIGH SCHOOL, 144, BC CANT, CAMP, BELGAUM|BELGAUM                                           
29010300502|ST MARYS HIGH SCHOOL, BC 145, CAMP, BELGAUM|BELGAUM                                           
29010300503|CANTONMENT BOARD MARATHI HS, CAMP, BELGAUM|BELGAUM                                           
29010300504|SHREE B S HORATTI IND. PU COLLEGE, HOSA WANTAMURI, BELGAUM (PUC)|BELGAUM                                           
29010300505|ISLAMIYA COMP PU COLLEGE, OLD POST OFFICE ROAD CAMP, BELGAUM (PUC)|BELGAUM                                           
29010300601|SANT MEERA ENG. MED. HIGH SCHOOL, 41/2, KARANDIKAR MALA, ANGOL, BELGAUM|BELGAUM                                           
29010300602|JAIN COLLEGE OF PUC, BELGAUM (PUC)|BELGAUM                                           
29010300603|GOGTE PU COLLEGE OF COMMERCE & SCIENCE, TILAKWADI, BELGAUM (PUC)|BELGAUM                                           
29010300604|SKE SOCIETY KAN HIGH SCHOOL BHAGYANAGAR|BELGAUM                                           
29010300605|SKE SOCIETY MAR HIGH SCHOOL BHAGYANAGAR|BELGAUM                                           
29010300701|SWADHYAY VIDYAMANDIR HIGH SCHOOL, SOMWARPETH CORNER, TILAKWADI, BELGAUM|BELGAUM                                           
29010300702|KLS SCHOOL, GCC CAMPUS, TILAKWADI, BELGAUM|BELGAUM                                           
29010300801|DILIP DAMLE HIGH SCHOOL, ANGOL RD, ANGOL, BELGAUM|BELGAUM                                           
29010300802|GOMATESH HIGH SCHOOL, GOMATESH NAGAR, HINDWADI|BELGAUM                                           
29010300803|ADARSH VIDYA MANDIR COMP PUC, ADARSH NAGAR, M VADGAON, BELGAUM|BELGAUM                                           
29010300804|GG CHITNIS ENG MED HIGH SCHOOL, 198, BUDHWAR PETH, TILAKWADI, BELGAUM|BELGAUM                                           
29010300806|ADARSH VIDYA MANDIR COMP PU COLLEGE, M VADGAON, BELGAUM (PUC)|BELGAUM                                           
29010300901|GOVT. HIGH SCHOOL, VADAGOAN, BELGAUM|BELGAUM                                           
29010300902|GS PU SCIENCE COLLEGE, TILAKWADI BELGAUM(PUC)|BELGAUM                                           
29010300903|RPD PU COLLEGE, TILAKWADI BELGAUM (PUC)|BELGAUM                                           
29010301401|KSRR HIGH SCHOOL, NEHRU NAGAR, BELGAUM|BELGAUM                                           
29010301402|SEVENTH DAY ADVENTISH HIGH SCHOOL, 15TH VAZE GALLI, M VADAGAON, BELGAUM|BELGAUM                                           
29010301403|GOMATESH COMP PU COLLEGE, HINDWADI, BELGAUM (PUC)|BELGAUM                                           
29010301501|THALAKWADI HIGH SCHOOL, SOMWAR PETH, NR 2ND RAIL GATE, TILAKWADI, BELGAUM|BELGAUM                                           
29010301502|MVHERWADKAR ENG. MED. HIGH SCHOOL, VACCINE INSITUTE RD., NR 2ND RAIL GATE, TILAKWADI, BELGAUM|BELGAUM                                           
29010301503|PRECIOUS BLOSSOMS SCHOOL, DR RK MARG 6TH CROSS, HINDWADI, BELGAUM|BELGAUM                                           
29010301504|BALIKA ADARSHA HS TILAKWADI (AIDED)|BELGAUM                                           
29010301701|DIVINE PROVIDENCE CONVENT HIGH SCHOOL, TILAKWADI, BELGAUM|BELGAUM                                           
29010301702|MALATIBAI SALUNKHE GIRLS HIGH SCHOOL, TILAKWADI, BELGAUM|BELGAUM                                           
29010301703|ORIENTAL ENG. ACAD. TRUST. ENG. MED. HIGH SCHOOL, VIDYA SANKUL, BELGAUM|BELGAUM                                           
29010301801|PANDIT NEHRU PU COLLEGE HIGH SCHOOL, 1644, ALWAN GALLI, SHAHAPUR, BELGAUM|BELGAUM                                           
29010301802|HINDMATA VIDYALAY, 1644 ALWAN GALLI, SHAHAPUR, BELGAUM|BELGAUM                                           
29010301803|BHARATI VIDYALAYA HIGH SCHOOL, NO. 220 UPPAR GALLI, KHASBAG, BELGAUM|BELGAUM                                           
29010301901|RAJPUT BANDHU HIGH SCHOOL, SOMAWAR PETH, TILAKWADI, BELGAUM|BELGAUM                                           
29010301902|NEW GIRLS HIGH SCHOOL, GOAVES, SHAHPUR, BELGAUM|BELGAUM                                           
29010301903|SMT. CHAMAPABAI BHOGALE GIRLS HIGH SCHOOL, SHAHAPUR, BELGAUM|BELGAUM                                           
29010302001|PANDIT NEHRU PU COLLEGE, ALWAN GALLI, SHAHAPUR (PUC)|BELGAUM                                           
29010302101|GOVT. SARASWATI GIRLS PUC HS, TELI PATIL GALLI, SHAHAPUR, BELGAUM|BELGAUM                                           
29010302201|GOVT. SARASWATI GIRLS PU COLLEGE, BITCHU GALLI, SHAHAPUR, BELGAUM (PUC)|BELGAUM                                           
29010302301|GAJANANRAO BHATKANDE ENG MED HS, CR NO. 1, SPM RD, BELGAUM|BELGAUM                                           
29010302401|GAJANANRAO BHATKANDE PU COLLEGE, SPM ROAD, CROSS NO 1, BELGAUM (PUC)|BELGAUM                                           
29010302501|GOVT. CHINTAMANI HS, MEERAPUR GALLI, SHAHAPUR, BELGAUM|BELGAUM                                           
29010302601|VIDNYAN VIKAS MANDIR HIGH SCHOOL, MAHADAWAR RD, CR NO 2, H.NO. 350/7, BELGAUM|BELGAUM                                           
29010302602|BHARATESH PU COLLEGE OF SCIENCE & COMMERECE, BC 188, NEAR FORT, OLD PB RD, BELGAUM (PUC)|BELGAUM                                           
29010302603|JNAN MANDIR ENG HS GOODSHED ROAD|BELGAUM                                           
29010303001|SMT. USHATAI GOGTE GIRLS HIGH SCHOOL, PATIL GALLI, BELGAUM|BELGAUM                                           
29010303002|THE MM CENTRAL HIGH SCHOOL, HUNS TALKIES RD, BELGAUM|BELGAUM                                           
29010303003|DY CHOUGULE BHARATESH HS, BC NO, 188, PB RD, BELGAUM|BELGAUM                                           
29010303101|BASHIBAN GIRLS HIGH SCHOOL, BHENDI BAZAR, BELGAUM|BELGAUM                                           
29010303102|RANGUBAI BHOSALE HIGH SCHOOL, RANGUBAI PALACE, RAMLINGKHIND GALLI, BELGAUM|BELGAUM                                           
29010303401|BASHIBAN HS BHENDI BAZAR (AIDED)|BELGAUM                                           
29010303801|MMS JIJAMATA HIGH SCHOOL, COURT RD, BELGAUM|BELGAUM                                           
29010303802|GOVT. SARDARS PUC COLLEGE, KAKATIVES RD, BELGAUM|BELGAUM                                           
29010303901|GA COMP PU COLLEGE, COLLEGE RD, BELGAUM|BELGAUM                                           
29010303902|NATIONAL PROGRESSIVE EDUCATION TRUST ENG. MED. HIGH SCHOOL, CLUB RD, BELGAUM|BELGAUM                                           
29010303903|MAHILA VIDYALAY MANDALS ENG MED HIGH SCHOOL, 3957, COL RD, BELGAUM|BELGAUM                                           
29010304001|ST GERMAINES INDIAN HIGH SCHOOL, H. NO. 4619, BHADKAL GALLI, BELGAUM|BELGAUM                                           
29010304101|THE MMS COMP. PU COLLEGE, COURT RD, CHAVAT GALLI, BELGAUM (PUC)|BELGAUM                                           
29010304201|MAHILA VIDYALAYA HIGH SCHOOL, COLLEGE ROAD, BELGAUM|BELGAUM                                           
29010304301|SHRI SHIVAYOGI KAN MED HIGH SCHOOL, BOXITE RD, ANNAPURNA WADI, BELGAUM|BELGAUM                                           
29010304302|MAHESHWARI HIGH SCHOOL FOR BLIND|BELGAUM                                           
29010304303|NALANDA ENG HS HANUMANNAGAR|BELGAUM                                           
29010304304|SHAIKH CENTRAL ENG HIGH SCHOOL|BELGAUM                                           
29010304401|AL-AMEEN HIGH SCHOOL, 5TH CROSS, AZAM NAGAR, BELGAUM|BELGAUM                                           
29010304402|MARKANDEY HIGH SCHOOL, MARKEY YARD, BELGAUM|BELGAUM                                           
29010304403|RLS PU COLLEGE OF SCIENCES, COLLEGE RD, BELGAUM (PUC)|BELGAUM                                           
29010304404|SS COMP. PU COLLEGE, BELGAUM (PUC)|BELGAUM                                           
29010304405|LINGARAJ PU COLLEGE OF ARTS & COMMERCE, COLLEGE RD, BELGAUM (PUC)|BELGAUM                                           
29010304406|GOVT SCHOOL FOR DEAF AZAMNAGAR|BELGAUM                                           
29010304407|KATTIMANI KAN HS SANGAMESHWARNAGAR|BELGAUM                                           
29010304701|SHERMAN ENGLISH MEDIUM HIGH SCHOOL, FAIR FIELD MISSION COMPOUND, BELGAUM|BELGAUM                                           
29010304702|SHERMAN KANNADA MED HS, FAIR FIELD MISSION COMP, BELGAUM|BELGAUM                                           
29010304703|ANJUMAN PU COLLEGE, OPP COURT, BELGAUM (PUC)|BELGAUM                                           
29010304704|JOHN WESLEY METHODIST PU COLLEGE OF SCIENCES, COMMERCE ADN ARTS, OPP COURT, BELGAUM  (PUC)|BELGAUM                                           
29010304801|SS COMP. PUC, SHIVABASAVA NAGAR, BELGAUM|BELGAUM                                           
29010304802|SSSS JAGADISH A SAVADATTI PU COLLEGE OF COMMERCE, NEHRU NAGAR, BELGAUM (PUC)|BELGAUM                                           
29010305001|GOVT. URDU HIGH SCHOOL, BADRUDDIN SHAH MASJID GALLI, NEW GANDHI NAGAR, BELGAUM|BELGAUM                                           
29010305101|HN SONWALKAR KANNADA MEDIUM HIGH SCHOOL, MAHANTESH NAGAR, BELGAUM|BELGAUM                                           
29010305102|BS SHESHGIRI ENG MED HIGH SCHOOL, MM EXT, MAHANTESH NAGAR, BELGAUM|BELGAUM                                           
29010305103|BEGUMATIFA KAMKHANEWALA GIRLS HIGH SCHOOL, 3RD CR, AZAD NAGAR, BELGAUM|BELGAUM                                           
29010305201|GOVT. HIGH SCHOOL, VANTMURI COLONY MALMARUTI BADAVANE, BELGAUM|BELGAUM                                           
29010305301|GOVT. HIGH SCHOOL, MAHANTESH NAGAR, BELGAUM|BELGAUM                                           
29010305302|LOVE DALE HIGH SCHOOL|BELGAUM                                           
29010305401|UDAY ENG. MED. HIGH SCHOOL, PL NO. 570, RAMTHIRTH NAGAR, BELGAUM|BELGAUM                                           
29010305501|BENSONS ENG. MED. HIGH SCHOOL, GANPAT GALLI, YAMANAPUR, BELGAUM|BELGAUM                                           
29010305601|GOVT. HIGH SCHOOL, KANABARGI|BELGAUM                                           
29010305602|GOVT. HIGH SCHOOL, RAMATHIRTH NAGAR, BELGAUM|BELGAUM                                           
29010305603|SAMATA KANNADA HIGH SCHOOL,KANABARAGI, BELGAUM|BELGAUM                                           
29010305604|SANGAMESH ENG HIGH SCHOOL|BELGAUM                                           
29010305605|MM ENG MED HIGH SCHOOL MAHANTESHNAGAR|BELGAUM                                           
29010305701|SHRI SIDDHESHWAR HIGH SCHOOL, KANABARGI, GOKAK ROAD, KANABARGI, BELGAUM|BELGAUM                                           
29010305702|SSRD HIGH SCHOOL, KANABARGI|BELGAUM                                           
29010305703|KALMESHWAR MAR HS BASAVANKUDACHI|BELGAUM                                           
29010305801|MK PATIL HIGH SCHOOL, B KUDACHI, BELGAUM|BELGAUM                                           
29010306001|BHARTESH HIGH SCHOOL FORT BELGAUM|BELGAUM                                           
29010306101|MODEL ENG. MED. SCHOOL, CAMP, BELGAUM|BELGAUM                                           
29010306102|MARATHI VIDYANIKETAN HS, JYOTI COLLEGE, COMPOUND, CAMP, BELGAUM|BELGAUM                                           
29010306103|BK MODEL HS, CAMP BELGAUM|BELGAUM                                           
29010306104|BEYOND SMITH HS, CAMP BELGAUM|BELGAUM                                           
29010306107|B.K MADEL MARATHI MED H.S,CANTONMENT|BELGAUM                                           
29010306108|CANTONMENT URDU HS CAMP BELGAUM|BELGAUM                                           
29010306109|ST ANTHONY KAN HIGH SCHOOL CAMP|BELGAUM                                           
29010306201|PHOENIX ENG MED SCHOOL, BELGAUM, NEHRU NAGAR, BELGAUM|BELGAUM                                           
29010306301|AL-AMEEN ENG MED HIGH SCHOOL, BC NO 6, FORT, BELGAUM|BELGAUM                                           
29010306302|SEVEN DAY ADVENTIST ENG HS, 5TH CR AZAM CROSS, AZAM NAGAR, BGM|BELGAUM                                           
29010306401|SGV IND PU COLLEGE, SECTOR NO. 9, MAL MARUTI EXTN, BELGAUM 16 (PUC)|BELGAUM                                           
29010306501|GOOD SHEPHERDS PU SCIENCES COLLEGE, JAKKERI HONDA NEAR RAILWAY OVER BRIDGE, BELGAUM (PUC)|BELGAUM                                           
29010306502|KLE GOGTE PU COLLEGE OF COMMERCE ADN SCIENCES, TILAKWADI, BELGAUM (PUC)|BELGAUM                                           
29010306503|AL-AMEEN PU COLLEGE, 5TH CROSS AZAM NAGAR, BELGAUM (PUC)|BELGAUM                                           
29010306504|BEYNON SMITH COMPOSITE PU COLLEGE OF COMMEREC & ARTS CAMP, BELGAUM (PUC)|BELGAUM                                           
29010306505|JYOTI PU COLLEGE, CLUB ROAD, BELGAUM (PUC)|BELGAUM                                           
29010400101|S.S EDN TRUST ,AGASAGA  HS,AGASAGA|BELGAUM                                           
29010400402|GOVT. HIGH SCHOOL, ARALIKATTI|BELGAUM                                           
29010400602|BHAGATSING HS AMBEWADI|BELGAUM                                           
29010400701|GHS BHADAL ANKALGI|BELGAUM                                           
29010400801|MM BASTWAD HS, BSD|BELGAUM                                           
29010401001|MARATHA MANDAL HS (UNAIDED) BASARIKATTI|BELGAUM                                           
29010401002|DMS MAHALAXMI HS (UNAIDED) BASARIKARIKATTI|BELGAUM                                           
29010401301|MAHATMA GANDHI VIDYALAY BAMBARGE|BELGAUM                                           
29010401302|GOVT. HS, NEW IDDALHOND (SHIVAPUR)|BELGAUM                                           
29010401701|GOVT. HIGH SCHOOL, MAVINAKATTI|BELGAUM                                           
29010401702|JANATA COMP PU COLLEGE, SAMBRA BALEKUNDRI KH, (PUC)|BELGAUM                                           
29010401902|NEW ENG.MED H.S,BIJAGARNI|BELGAUM                                           
29010402001|SHRI BHAGWAN MAHAVEER JAIN ENG MED RES HS ,BUTTRAMANHATTI|BELGAUM                                           
29010402002|SS HIGH SCHOOL MUKTIMATH BHUTRAMHATTI UNAIDED|BELGAUM                                           
29010402201|SHRI NAGANATH HS,BEKKINKERE|BELGAUM                                           
29010402301|SHIVRAJ HS,BENKANHALLI|BELGAUM                                           
29010402401|BELGUNDI HIGH SCHOOL.BELGUNDI|BELGAUM                                           
29010402402|VBSS HIGH SCHOOL (AIDED) BELAGUNDI|BELGAUM                                           
29010402501|MADHYAMIK VIDYALAY, BELVATTI|BELGAUM                                           
29010403301|M.V.DHAMANE(S)|BELGAUM                                           
29010403401|DESUR H.S,DESUR|BELGAUM                                           
29010403402|DMS HS (AIDED) DESUR|BELGAUM                                           
29010403601|VIDYA NIKETAN H.S,GAJAPATI|BELGAUM                                           
29010403701|KARMVEER BHAURAO PATIL HS,GOJAGE|BELGAUM                                           
29010403901|MAHATMA GANDHI HIGH SCHOOL, GOUNDWAD|BELGAUM                                           
29010404001|SMT, J.R.D HS HALAGA|BELGAUM                                           
29010404002|SHARDHA GIRLS HS HALAGA|BELGAUM                                           
29010404003|SMT JRD MAR MED HS,HALAGA|BELGAUM                                           
29010404101|SARASWATI H.S,HANDIGNUR|BELGAUM                                           
29010404102|SARASWATI PU COLLEGE, HANDIGNUR (PUC)|BELGAUM                                           
29010404301|KAMALADEVI HIGH SCJOOL HANGARGA|BELGAUM                                           
29010404501|KARNATAKA H.S,HIRE BAGEWADI|BELGAUM                                           
29010404502|GOVT. PU COLLEGE, HIREBAGEWADI|BELGAUM                                           
29010404503|GOUSIA HS HIREBAGEWADI|BELGAUM                                           
29010404504|KARNATAKA PU COLLEGE, HIREBAGEWADI (PUC)|BELGAUM                                           
29010404505|GOVT. PU COLLEGE, HIREBAGEWADI (PUC)|BELGAUM                                           
29010404506|REMS HS (UNAIDED) HIREBAGEWADI|BELGAUM                                           
29010404602|HINDALGA HS HINDALGA|BELGAUM                                           
29010404701|GOVT. HIGH SCHOOL, HUDALI|BELGAUM                                           
29010405001|MM HS,HONGA|BELGAUM                                           
29010405101|NEW HIGH SCHOOL HOSA VANTAMURI (AIDED)|BELGAUM                                           
29010405301|GOVT. MARATHI HS, KALLEHOL|BELGAUM                                           
29010405302|GOVT COMP PU COLLEGE, KALLEHOL (PUC)|BELGAUM                                           
29010405601|GHS KARADIGUDDI|BELGAUM                                           
29010405801|SHREE JOMALINGESHWAR HS,DEVAGIRI|BELGAUM                                           
29010405802|SHRI SHIVAJI H.S,KADOLI|BELGAUM                                           
29010405803|GOVT. HIGH SCHOOL, KADOLI|BELGAUM                                           
29010406002|V.B.S.S.MADYAMIK VID,KARLE|BELGAUM                                           
29010406101|GHS KANGRALI B K|BELGAUM                                           
29010406102|MADHYAMIK VIDYALAY KANGRALI(B.K)|BELGAUM                                           
29010406103|V.S.S GIRL HS KANGRALI B.K|BELGAUM                                           
29010406201|BRAHMALINGESHWAR MADHYAMIK VID,KANGRALI K.H|BELGAUM                                           
29010406401|GHS KHANAGAON BK (RMSA)|BELGAUM                                           
29010406501|ST. JOHNS ENG MED HS (UNAIDED) KAKTI|BELGAUM                                           
29010406601|SARASWATI VIDYA MANDIR, KINAYE|BELGAUM                                           
29010406602|JYOTI HIGH SCHOOL, KARLE|BELGAUM                                           
29010406603|MARATHA MANDALS KINAYE HS (AIDED) KINAYE|BELGAUM                                           
29010406604|KINAYE HS (AIDED) KINAYE|BELGAUM                                           
29010406701|KUDREMANI H.S,KUDREMANI|BELGAUM                                           
29010407201|GOVT. COMP PU COLLEGE, KK KOPPA|BELGAUM                                           
29010407202|GOVT. SSCA PU COLLEGE, KK KOPPA (PUC)|BELGAUM                                           
29010407301|DR. BABASAHEB AMBEDKAR VIDYALAYA, KEDUR|BELGAUM                                           
29010407302|GOVT. HIGH SCHOOL, MANNIKERI|BELGAUM                                           
29010407601|GOMATESH KAN . H.S .MACHHE|BELGAUM                                           
29010407602|MACHHE HS, MACHHE, BELGAUM|BELGAUM                                           
29010407603|GOVT HIGH SCHOOL, KSPP, MACHHE|BELGAUM                                           
29010407604|DEVINE MERCY (UNAIDED) HS|BELGAUM                                           
29010407801|KALMESHWAR HS MANNUR|BELGAUM                                           
29010407901|MANDOLI H.S,MANDOLI|BELGAUM                                           
29010408001|R.D.HS MARIHAL|BELGAUM                                           
29010408101|GOVT. HS, MASTAMARADI|BELGAUM                                           
29010408401|SHRI SIDDHAROODH H.S,MUCHANDI|BELGAUM                                           
29010408501|GOVT. HIGH SCHOOL, MUTNAL|BELGAUM                                           
29010408601|NEW ENG;SCHOOL,MUTAGE|BELGAUM                                           
