 district |       block        |          cluster          | school_code |             school_name             | no_of_classroom | lowest_class | highest_class | no_of_teachers | no_of_students | no_of_headteacher 
 BELLARY  | BELLARY EAST       | DAMMUR                    |29120903702| GLPS SINGADEVANA HALLI              |2|1|5|2|57|0
 BELLARY  | BELLARY EAST       | DAMMUR                    |29120903704| GLPS INDRA NAGAR KOLUR CROSS        |3|1|5|3|49|0
 BELLARY  | BELLARY EAST       | DAMMUR                    |29120903708| GLPS SRI RAMA NAGARA DAMMUR         |4|1|5|1|67|0
 BELLARY  | BELLARY EAST       | DAMMUR                    |29120903801| GHPS DAMMUR KAGGAL                  |12|1|8|9|416|1
 BELLARY  | BELLARY EAST       | DAMMUR                    |29120907403| GLPS    LAXMINAGARA CAMP            |2|1|5|2|48|0
 BELLARY  | BELLARY EAST       | DAMMUR                    |29120907601| GHPS SINDHIGERI                     |12|1|8|13|608|2
 BELLARY  | BELLARY EAST       | DAMMUR                    |29120907604| GLPS MALLESWARA CAMP                |2|1|5|3|33|0
 BELLARY  | BELLARY EAST       | HALKUNDI                  |29120904301| GHPS HALKUNDHI                      |9|1|8|13|450|2
 BELLARY  | BELLARY EAST       | HALKUNDI                  |29120904302| GLPS V B S MATTA HALAKUNDI          |4|1|5|4|82|0
 BELLARY  | BELLARY EAST       | HALKUNDI                  |29120904601| GHPS  HONNALLI                      |7|1|8|8|261|1
 BELLARY  | BELLARY EAST       | HALKUNDI                  |29120904602| GHPS    HONNALLI THANDA             |7|1|7|5|193|0
 BELLARY  | BELLARY EAST       | HALKUNDI                  |29120906501| GHPS MINCHERI                       |8|1|8|8|365|1
 BELLARY  | BELLARY EAST       | HALKUNDI                  |29120906502| GUHPS MINCHERI                      |5|1|8|7|205|0
 BELLARY  | BELLARY EAST       | HALKUNDI                  |29120907001| GHPS S.R. KOTE                      |11|1|8|8|432|0
 BELLARY  | BELLARY EAST       | HALKUNDI                  |29120907002| GHPS   CHERAKUNTA                   |9|1|8|7|217|1
 BELLARY  | BELLARY EAST       | KAKARLATHOTA              |29120900401| GUHPS  GUGGARA HATTI                |4|1|7|3|98|0
 BELLARY  | BELLARY EAST       | KAKARLATHOTA              |29120900405| GHPS      K.K.THOTA                 |8|1|8|11|379|1
 BELLARY  | BELLARY EAST       | KAKARLATHOTA              |29120900411| GUHPS   TANKBAND`                   |5|1|7|8|201|0
 BELLARY  | BELLARY EAST       | KAKARLATHOTA              |29120900416| GHPS MUNDRIGI                       |10|1|8|10|339|1
 BELLARY  | BELLARY EAST       | KAKARLATHOTA              |29120900417| GULPS MUNDRIGI                      |4|1|5|3|61|0
 BELLARY  | BELLARY EAST       | KAKARLATHOTA              |29120900418| GLPS INDUSTRIAL AREA                |5|1|5|2|24|0
 BELLARY  | BELLARY EAST       | KAKARLATHOTA              |29120900419| GLPS HANUMANA NAGAR                 |2|1|5|2|69|0
 BELLARY  | BELLARY EAST       | KAKARLATHOTA              |29120900808| GLPS    MANGAMMA CAMP               |2|1|5|2|14|0
 BELLARY  | BELLARY EAST       | KAMBLI BAZAR BLY          |29120900409| GMHPS   V.N. STREET                 |10|1|7|6|139|0
 BELLARY  | BELLARY EAST       | KAMBLI BAZAR BLY          |29120900610| GHPS      BAPUJI NAGAR              |8|1|8|9|386|0
 BELLARY  | BELLARY EAST       | KAMBLI BAZAR BLY          |29120900804| GHPS  C M STREET   KAMELA STREET    |10|1|8|10|336|1
 BELLARY  | BELLARY EAST       | KAMBLI BAZAR BLY          |29120900805| GHPS      MARISWAMY MUTTA           |13|1|7|10|246|1
 BELLARY  | BELLARY EAST       | KAMBLI BAZAR BLY          |29120900806| GMHPS    KAMBLI BAZAAR              |13|1|8|13|476|0
 BELLARY  | BELLARY EAST       | KAMBLI BAZAR BLY          |29120900906| GULPS    MARISWAMY MUTTA            |4|1|5|4|42|1
 BELLARY  | BELLARY EAST       | KAMBLI BAZAR BLY          |29120901004| GUHPS    TAZIA STREET               |7|1|8|12|439|1
 BELLARY  | BELLARY EAST       | KAMBLI BAZAR BLY          |29120901302| GUHPS    MILLER PET                 |14|1|8|16|455|1
 BELLARY  | BELLARY EAST       | KAMBLI BAZAR BLY          |29120901413| GMHPS    MILLER PET                 |11|1|8|15|432|0
 BELLARY  | BELLARY EAST       | KAMBLI BAZAR BLY          |29120910115| GMHPS   JAIN MARKET                 |7|1|8|7|135|0
 BELLARY  | BELLARY EAST       | KAPPGAL ROAD BELLARY      |29120901701| GULPS    R.P.LINES                  |3|1|5|3|30|1
 BELLARY  | BELLARY EAST       | KAPPGAL ROAD BELLARY      |29120901702| GMHPS   A.R.P.LINES                 |8|1|7|6|125|1
 BELLARY  | BELLARY EAST       | KAPPGAL ROAD BELLARY      |29120901723| GMHPS   S.N.PET                     |13|1|7|7|168|0
 BELLARY  | BELLARY EAST       | KAPPGAL ROAD BELLARY      |29120901903| GMHPS   GANDHI NAGAR                |20|1|8|19|415|0
 BELLARY  | BELLARY EAST       | KAPPGAL ROAD BELLARY      |29120901905| GLPS K.H.B. COLONY                  |6|1|5|3|114|0
 BELLARY  | BELLARY EAST       | KAPPGAL ROAD BELLARY      |29120902001| GMHPS   KAPPAGAL ROAD.              |9|1|7|5|206|0
 BELLARY  | BELLARY EAST       | KORLAGUNDI                |29120902901| GHPS CHANAL                         |8|1|8|7|592|1
 BELLARY  | BELLARY EAST       | KORLAGUNDI                |29120902902| GULPS CHANAL                        |2|1|5|3|23|0
 BELLARY  | BELLARY EAST       | KORLAGUNDI                |29120904001| GHPS GUDADHUR                       |7|1|8|4|267|1
 BELLARY  | BELLARY EAST       | KORLAGUNDI                |29120904401| GHPS  HANDHIHAL                     |6|1|8|9|310|1
 BELLARY  | BELLARY EAST       | KORLAGUNDI                |29120904402| GUHPS HANDHIHAL                     |4|1|8|5|94|0
 BELLARY  | BELLARY EAST       | KORLAGUNDI                |29120904801| GHPS JALIBENCHI                     |5|1|8|7|279|0
 BELLARY  | BELLARY EAST       | KORLAGUNDI                |29120905203| GLPS    BALAJINAGARA CAMP           |4|1|5|2|27|0
 BELLARY  | BELLARY EAST       | KORLAGUNDI                |29120905901| GHPS  KORLAGUNDHI                   |23|1|8|23|782|1
 BELLARY  | BELLARY EAST       | KORLAGUNDI                |29120905905| GLPS AMBEDKAR NAGAR KORLAGUNDI      |3|1|5|1|192|0
 BELLARY  | BELLARY EAST       | KORLAGUNDI                |29120907401| GHPS SHREEDHARA GADDA               |10|1|8|15|611|0
 BELLARY  | BELLARY EAST       | KORLAGUNDI                |29120907405| GULPS SRIDARAGADDA BLY              |1|1|5|3|15|0
 BELLARY  | BELLARY EAST       | KORLAGUNDI                |29120907406| GLPS GUDARA NAGARA                  |5|1|5|5|177|0
 BELLARY  | BELLARY EAST       | MOKA                      |29120902703| GLPS HOSAYERAGUDI                   |1|1|5|2|119|0
 BELLARY  | BELLARY EAST       | MOKA                      |29120903101| GHPS BOMMANA HAL                    |8|1|8|7|195|1
 BELLARY  | BELLARY EAST       | MOKA                      |29120904901| GHPS  JALIHAL                       |8|1|8|4|242|1
 BELLARY  | BELLARY EAST       | MOKA                      |29120906301| GMHPS MOKA                          |9|1|8|15|506|0
 BELLARY  | BELLARY EAST       | MOKA                      |29120906302| GHPS   HOSA MOKA                    |7|1|7|7|284|0
 BELLARY  | BELLARY EAST       | MOKA                      |29120906306| GUHPS  MOKA                         |3|1|6|5|46|0
 BELLARY  | BELLARY EAST       | MOKA                      |29120906401| GHPS M. GONAL                       |10|1|7|7|237|2
 BELLARY  | BELLARY EAST       | MOKA                      |29120907501| GHPS SINDWALA                       |13|1|8|14|632|1
 BELLARY  | BELLARY EAST       | MOKA                      |29120907503| GHPS SINDWALA HULIGEMMA CAMP        |4|1|7|4|230|0
 BELLARY  | BELLARY EAST       | MOKA                      |29120908402| GHPS   HALE YERRAGUDI`              |3|1|8|2|80|0
 BELLARY  | BELLARY EAST       | MOKA                      |29120908403| GHPS HOSA YERRAGUDI                 |14|1|8|13|464|1
 BELLARY  | BELLARY EAST       | PATELANAGAR BELLARY       |29120901604| GHPS B.GONAL                        |9|1|8|9|273|1
 BELLARY  | BELLARY EAST       | PATELANAGAR BELLARY       |29120901613| GHPS  BISALA HALLI                  |10|1|8|10|287|1
 BELLARY  | BELLARY EAST       | PATELANAGAR BELLARY       |29120901614| G.L.P.S.JANATHA NAGAR B.S.A.L       |3|1|5|2|49|0
 BELLARY  | BELLARY EAST       | PATELANAGAR BELLARY       |29120901622| GMHPS   PATEL NAGAR                 |13|1|8|17|570|0
 BELLARY  | BELLARY EAST       | PATELANAGAR BELLARY       |29120901806| GULPS    HUSSAIN NAGAR              |2|1|5|2|20|0
 BELLARY  | BELLARY EAST       | PATELANAGAR BELLARY       |29120901810| GLPS K.RAMAYYA COLONY  PATEL NAGAR  |3|1|5|3|97|0
 BELLARY  | BELLARY EAST       | PATELANAGAR BELLARY       |29120902301| GHPS  ASUNDI                        |7|1|8|8|325|1
 BELLARY  | BELLARY EAST       | PATELANAGAR BELLARY       |29120902302| GULPS  ASUNDI                       |1|1|5|2|13|0
 BELLARY  | BELLARY EAST       | PATELANAGAR BELLARY       |29120902601| GHPS BEVINA HALLI                   |6|1|7|3|93|0
 BELLARY  | BELLARY EAST       | PATELANAGAR BELLARY       |29120903001| GHPS   AMARAPURA                    |6|1|8|6|179|1
 BELLARY  | BELLARY EAST       | PATELANAGAR BELLARY       |29120905101| GHPS KAKKABEVINA HALLI              |10|1|7|8|331|1
 BELLARY  | BELLARY EAST       | PATELANAGAR BELLARY       |29120907901| GHPS T. BUDIHALU                    |7|1|8|7|195|2
 BELLARY  | BELLARY EAST       | PATELANAGAR BELLARY       |29120908701| GHPS GODEHAL                        |5|1|8|4|63|0
 BELLARY  | BELLARY EAST       | RUPANAGUDI                |29120903601| GMHPS CHELLAGURKI                   |6|1|7|7|169|0
 BELLARY  | BELLARY EAST       | RUPANAGUDI                |29120903602| GLPS  CHELLAGURKI                   |4|1|5|2|71|0
 BELLARY  | BELLARY EAST       | RUPANAGUDI                |29120904701| GHPS IBRAHIMPURA                    |8|1|8|9|268|1
 BELLARY  | BELLARY EAST       | RUPANAGUDI                |29120905001| GHPS  JOLADARASI                    |6|1|8|5|121|1
 BELLARY  | BELLARY EAST       | RUPANAGUDI                |29120905801| GHPS KUNTANA HAL                    |5|1|8|10|428|1
 BELLARY  | BELLARY EAST       | RUPANAGUDI                |29120906001| GHPS L.D. HALLI                     |4|1|8|5|72|0
 BELLARY  | BELLARY EAST       | RUPANAGUDI                |29120906801| GHPS  RAYAPURA                      |9|1|8|7|194|1
 BELLARY  | BELLARY EAST       | RUPANAGUDI                |29120906901| GHPS  RUPANA GUDI                   |16|1|8|15|523|2
 BELLARY  | BELLARY EAST       | RUPANAGUDI                |29120906902| GULPS RUPANA GUDI                   |2|1|5|3|44|0
 BELLARY  | BELLARY EAST       | RUPANAGUDI                |29120907201| GHPS SHANKARA BANDA                 |9|1|8|10|294|1
 BELLARY  | BELLARY EAST       | RUPANAGUDI                |29120907203| GLPS    DHANALAXMI CAMP             |2|1|5|1|18|0
 BELLARY  | BELLARY EAST       | RUPANAGUDI                |29120907205| GLPS    THIRUMALANAGARA CAMP        |3|1|5|2|30|1
 BELLARY  | BELLARY EAST       | RUPANAGUDI                |29120907208| GLPS TEL.MED. VIGNESWARA CAMP       |2|1|5|2|20|0
 BELLARY  | BELLARY EAST       | RUPANAGUDI                |29120908001| GHPS THOLA MAMIDI                   |5|1|8|4|102|0
 BELLARY  | BELLARY EAST       | RUPANAGUDI                |29120908201| GHPS YALPI                          |8|1|8|8|271|1
 BELLARY  | BELLARY EAST       | RUPANAGUDI                |29120908202| GULPS    YALPI                      |2|1|5|3|32|0
 BELLARY  | BELLARY EAST       | RUPANAGUDI                |29120908601| GHPS  BOBBUKUNTA                    |7|1|8|6|149|0
 BELLARY  | BELLARY EAST       | RUPANAGUDI                |29120908602| GLPS VIJAYAPURA CAMP                |3|1|5|1|37|0
 BELLARY  | BELLARY EAST       | SIDIGINAMOLA              |29120903401| GHPS  BYALA CHINTHA                 |4|1|8|5|156|0
 BELLARY  | BELLARY EAST       | SIDIGINAMOLA              |29120903901| GHPS D.N. HALLI                     |11|1|8|9|280|1
 BELLARY  | BELLARY EAST       | SIDIGINAMOLA              |29120904101| GHPS G.N. HALLI                     |9|1|8|6|165|1
 BELLARY  | BELLARY EAST       | SIDIGINAMOLA              |29120905401| GHPS KAREKAL                        |8|1|8|8|198|1
 BELLARY  | BELLARY EAST       | SIDIGINAMOLA              |29120905501| GHPS  K. VEERAPURA                  |13|1|8|9|285|1
 BELLARY  | BELLARY EAST       | SIDIGINAMOLA              |29120906201| GHPS  MEENALLI                      |10|1|8|5|137|0
 BELLARY  | BELLARY EAST       | SIDIGINAMOLA              |29120906701| GHPS P.D. HALLI                     |8|1|8|7|210|1
 BELLARY  | BELLARY EAST       | SIDIGINAMOLA              |29120906704| GULPS P D HALLI                     |4|1|5|2|18|0
 BELLARY  | BELLARY EAST       | SIDIGINAMOLA              |29120906707| GLPS HAGARI RS                      |5|1|5|3|53|0
 BELLARY  | BELLARY EAST       | SIDIGINAMOLA              |29120907301| GMHPS SIDIGINA MOLA                 |7|1|8|10|343|1
 BELLARY  | BELLARY EAST       | SIDIGINAMOLA              |29120907801| GHPS THAMBRALLI                     |7|1|8|3|141|0
 BELLARY  | BELLARY EAST       | SIDIGINAMOLA              |29120908301| GHPS Y. KAGGAL                      |11|1|8|9|337|1
 BELLARY  | BELLARY EAST       | SIRIVARA                  |29120902402| GLPS ASHOKA NAGARA CAMP BLY         |2|1|5|2|37|0
 BELLARY  | BELLARY EAST       | SIRIVARA                  |29120903201| GHPS  BYRADEVANA HALLI              |8|1|8|9|354|1
 BELLARY  | BELLARY EAST       | SIRIVARA                  |29120903202| GHPS   SHIVAPURA                    |6|1|8|6|162|1
 BELLARY  | BELLARY EAST       | SIRIVARA                  |29120903501| GHPS CHAGANUR                       |9|1|8|12|470|1
 BELLARY  | BELLARY EAST       | SIRIVARA                  |29120905201| GHPS  KAPPAGAL                      |12|1|8|15|655|1
 BELLARY  | BELLARY EAST       | SIRIVARA                  |29120905202| GULPS  KAPPAGALLU                   |3|1|5|5|125|1
 BELLARY  | BELLARY EAST       | SIRIVARA                  |29120905205| GLPS BASAWESWARA CAMP               |2|1|5|2|106|0
 BELLARY  | BELLARY EAST       | SIRIVARA                  |29120906315| KGBV MOKA (MSK)                     |1|6|8|2|103|0
 BELLARY  | BELLARY EAST       | SIRIVARA                  |29120907101| GHPS SANGANA KAL                    |14|1|8|18|691|3
 BELLARY  | BELLARY EAST       | SIRIVARA                  |29120907107| GLPS SANGANAKAL PETROLBUNK          |2|1|5|1|86|0
 BELLARY  | BELLARY EAST       | SIRIVARA                  |29120907701| GHPS SIRIVARA                       |16|1|8|13|691|0
 BELLARY  | BELLARY EAST       | S.R.COLONY BELLARY        |29120901206| GUHPS    BOYAGERI                   |4|1|7|5|67|0
 BELLARY  | BELLARY EAST       | S.R.COLONY BELLARY        |29120901207| GMHPS  13TH WARD                    |14|1|7|9|185|0
 BELLARY  | BELLARY EAST       | S.R.COLONY BELLARY        |29120901310| GULPS    MOCHIWADI                  |1|1|5|3|51|0
 BELLARY  | BELLARY EAST       | S.R.COLONY BELLARY        |29120901407| GHPS     S.R.COLONY                 |18|1|8|15|758|0
 BELLARY  | BELLARY EAST       | S.R.COLONY BELLARY        |29120901414| GUHPS  T.G.OIL MILLS                |4|1|7|7|177|1
 BELLARY  | BELLARY EAST       | S.R.COLONY BELLARY        |29120901416| GULPS 15TH W VARABASAPPA            |4|1|5|5|152|0
 BELLARY  | BELLARY EAST       | S.R.COLONY BELLARY        |29120901417| GLPS      VADDARAGERI               |4|1|5|3|48|0
 BELLARY  | BELLARY EAST       | S.R.COLONY BELLARY        |29120901503| GLPS     BALAJI RAO ROAD            |5|1|5|3|46|0
 BELLARY  | BELLARY EAST       | S.R.COLONY BELLARY        |29120901505| GMHPS   K.C.COLONY                  |3|1|7|7|146|0
 BELLARY  | BELLARY EAST       | S.R.COLONY BELLARY        |29120901509| GULPS    SADRUDDIN DARGA            |3|1|5|4|57|1
 BELLARY  | BELLARY EAST       | S.R.COLONY BELLARY        |29120901510| GLPS ANJANAPPA NAGARA               |5|1|5|4|129|0
 BELLARY  | BELLARY EAST       | S.R.COLONY BELLARY        |29120910114| GUMHPS GLASS BAZAR                  |4|1|7|7|149|0
 BELLARY  | BELLARY EAST       | S.R.COLONY BELLARY        |29120910116| GHPS GIRLS  2ND WARD                |6|4|7|5|37|0
 BELLARY  | BELLARY WEST       | BANDIHATTI BELLARY        |29120100101| GLPS   ALADHA HALLI (W)             |2|1|5|2|46|0
 BELLARY  | BELLARY WEST       | BANDIHATTI BELLARY        |29120100801| GHPS    B. BELAGAL (W)              |8|1|8|11|389|1
 BELLARY  | BELLARY WEST       | BANDIHATTI BELLARY        |29120100802| GHPS   BELAGAL THANDA (W)           |8|1|8|11|361|1
 BELLARY  | BELLARY WEST       | BANDIHATTI BELLARY        |29120103501| GHPS  HARAGINADONI (W)              |9|1|8|5|316|0
 BELLARY  | BELLARY WEST       | BANDIHATTI BELLARY        |29120104201| GHPS  JANEKUNTE  (W)                |10|1|8|7|228|0
 BELLARY  | BELLARY WEST       | BANDIHATTI BELLARY        |29120104202| GLPS    JANEKUNTE THANDA (W)        |5|1|5|4|71|0
 BELLARY  | BELLARY WEST       | BANDIHATTI BELLARY        |29120111803| GULPS  24TH WARD (W)                |3|1|5|5|115|0
 BELLARY  | BELLARY WEST       | BANDIHATTI BELLARY        |29120114022| GMHPS    C.B.MAIN (W)               |8|1|8|12|386|0
 BELLARY  | BELLARY WEST       | BANDIHATTI BELLARY        |29120114023| GHPS        MORGALLI (W)            |7|1|7|10|272|1
 BELLARY  | BELLARY WEST       | BANDIHATTI BELLARY        |29120114025| GHPS RAMA NAGAR BAND H. (W)         |7|1|7|8|264|0
 BELLARY  | BELLARY WEST       | BANDIHATTI BELLARY        |29120114028| GUHPS 21ST WARD BANDIHATTI(W)       |4|1|7|6|156|0
 BELLARY  | BELLARY WEST       | BANDIHATTI BELLARY        |29120114029| GUHPS 22ND WARD BANDHI HATTI(W)     |8|1|7|7|225|0
 BELLARY  | BELLARY WEST       | BANDIHATTI BELLARY        |29120114109| GLPS PRASHANT NAGAR (W)             |4|1|5|2|61|0
 BELLARY  | BELLARY WEST       | BANDIHATTI BELLARY        |29120114112| GUHPS 29TH W.ADAM NAGAR (W)         |4|1|7|3|170|0
 BELLARY  | BELLARY WEST       | BANDIHATTI BELLARY        |29120114113| GHPS D.C.NAGAR BANDI.H. (W)         |7|1|7|6|311|0
 BELLARY  | BELLARY WEST       | BANDIHATTI BELLARY        |29120114114| GHPS       BANDI HATTI  (W)         |12|1|8|11|366|1
 BELLARY  | BELLARY WEST       | EMMIGANUR                 |29120102601| GMHPS EMMIGANUR (W)                 |16|1|8|13|751|0
 BELLARY  | BELLARY WEST       | EMMIGANUR                 |29120102602| GHPS  EMMIGANOOR (W)                |6|1|7|9|262|1
 BELLARY  | BELLARY WEST       | EMMIGANUR                 |29120102603| GULPS EMMIGANOOR (W)                |3|1|5|2|56|0
 BELLARY  | BELLARY WEST       | EMMIGANUR                 |29120102604| GHPS    BALLAPURA (W)               |7|1|7|3|115|0
 BELLARY  | BELLARY WEST       | EMMIGANUR                 |29120102606| GHPS VENI CAMP (W)                  |4|1|8|5|193|0
 BELLARY  | BELLARY WEST       | EMMIGANUR                 |29120102607| GHPS TALAVARA PETE (W)              |3|1|6|5|188|0
 BELLARY  | BELLARY WEST       | EMMIGANUR                 |29120102608| GLPS BRAHAMANA CAMP                 |4|1|5|3|39|0
 BELLARY  | BELLARY WEST       | EMMIGANUR                 |29120102613| GLPS BASAVANA PETE EMMIGANUR        |2|1|5|2|78|0
 BELLARY  | BELLARY WEST       | EMMIGANUR                 |29120106901| GHPS  NELLUDI HALE (W)              |8|1|7|6|228|0
 BELLARY  | BELLARY WEST       | EMMIGANUR                 |29120106902| GHPS    HOSA NELLUDI (W)            |7|1|8|5|218|0
 BELLARY  | BELLARY WEST       | EMMIGANUR                 |29120106903| GHPS    NELLUDI KOTTAL (W)          |8|1|8|8|225|1
 BELLARY  | BELLARY WEST       | EMMIGANUR                 |29120106904| GLPS    SHANTINAGAR (W)             |2|1|5|2|43|0
 BELLARY  | BELLARY WEST       | EMMIGANUR                 |29120106905| GLPS    RAJU CAMP (W)               |7|1|5|2|35|0
 BELLARY  | BELLARY WEST       | EMMIGANUR                 |29120106906| GLPS SHANKAR SHING CAMP (W)         |4|1|5|3|57|0
 BELLARY  | BELLARY WEST       | FORT BELLARY              |29120111811| GULPS BEEDI QUATERS (W)             |3|1|5|4|98|0
 BELLARY  | BELLARY WEST       | FORT BELLARY              |29120113808| GUHPS   JAGRUTHI NAGAR. (W)         |6|1|8|10|221|1
 BELLARY  | BELLARY WEST       | FORT BELLARY              |29120113809| GHPS  KADAPA GERI (W)               |11|1|8|11|303|1
 BELLARY  | BELLARY WEST       | FORT BELLARY              |29120113810| GUHPS  GIRLS, C.B. (W)              |11|1|8|9|235|1
 BELLARY  | BELLARY WEST       | FORT BELLARY              |29120113909| GLPS DHOBI ST. CB B (W)             |2|1|5|4|65|0
 BELLARY  | BELLARY WEST       | FORT BELLARY              |29120114432| GHPS       FORT (W)                 |10|1|8|14|471|1
 BELLARY  | BELLARY WEST       | FORT BELLARY              |29120115101| GUHPS GUGGARAHATTI(W)               |8|1|8|11|466|0
 BELLARY  | BELLARY WEST       | GENIKEHAL                 |29120100501| GHPS  BADANA HATTI (W)              |12|1|8|12|593|1
 BELLARY  | BELLARY WEST       | GENIKEHAL                 |29120100502| GLPS VALMIKI NAGARA BD HATTI(W)     |5|1|5|8|312|1
 BELLARY  | BELLARY WEST       | GENIKEHAL                 |29120100503| GLPS PANDURANGA NAGARA (W)          |2|1|4|2|81|0
 BELLARY  | BELLARY WEST       | GENIKEHAL                 |29120102701| GHPS GENIKEHAL (W)                  |13|1|8|14|585|0
 BELLARY  | BELLARY WEST       | GENIKEHAL                 |29120102702| GHPS    HOSA GENIKEHAL (W)          |8|1|7|5|115|2
 BELLARY  | BELLARY WEST       | GENIKEHAL                 |29120102703| GHPS    BASAVAPURA (W)              |6|1|7|5|137|0
 BELLARY  | BELLARY WEST       | GENIKEHAL                 |29120102704| GULPS GENIKEHAL (W)                 |3|1|5|3|59|0
 BELLARY  | BELLARY WEST       | GENIKEHAL                 |29120105901| GHPS  KYADHIGEHAL (W)               |8|1|8|9|264|5
 BELLARY  | BELLARY WEST       | INDIRANAGAR,BELLARY       |29120105602| GULPS  KOLAGAL (W)                  |2|1|5|3|59|0
 BELLARY  | BELLARY WEST       | INDIRANAGAR,BELLARY       |29120105603| GLPS  KRISHNA NAGAR CAMP (W)        |4|1|5|1|56|0
 BELLARY  | BELLARY WEST       | INDIRANAGAR,BELLARY       |29120105606| GLPS JANATHA COLONY (W)             |3|1|5|3|80|0
 BELLARY  | BELLARY WEST       | INDIRANAGAR,BELLARY       |29120105608| GHPS KOLAGAL                        |26|1|8|23|822|0
 BELLARY  | BELLARY WEST       | INDIRANAGAR,BELLARY       |29120111901| GHPS   INDIRA NAGAR (W)             |18|1|8|15|463|1
 BELLARY  | BELLARY WEST       | INDIRANAGAR,BELLARY       |29120111910| GHPS       BATHRI (W)               |4|1|7|5|141|1
 BELLARY  | BELLARY WEST       | INDIRANAGAR,BELLARY       |29120111912| GHPS       AVVAMBHAVI (W)           |11|1|8|9|329|1
 BELLARY  | BELLARY WEST       | INDIRANAGAR,BELLARY       |29120111930| GHPS MULLING BASAVARAJ N. (W)       |4|1|6|3|80|0
 BELLARY  | BELLARY WEST       | INDIRANAGAR,BELLARY       |29120111932| GHPS SHANTHINAGAR(AIR.P.R.) (W      |5|1|6|2|58|0
 BELLARY  | BELLARY WEST       | INDIRANAGAR,BELLARY       |29120111933| GULPS SATYAVANI NAGAR BLY           |2|1|5|3|43|0
 BELLARY  | BELLARY WEST       | INDIRANAGAR,BELLARY       |29120111986| GLPS KARIMAREMMA COLONY             |2|1|5|2|120|0
 BELLARY  | BELLARY WEST       | KALLUKAMBA                |29120102201| GLPS  CHITIGINAHAL (W)              |5|1|5|4|60|0
 BELLARY  | BELLARY WEST       | KALLUKAMBA                |29120102901| GHPS GUTHIGANUR (W)                 |11|1|8|5|348|1
 BELLARY  | BELLARY WEST       | KALLUKAMBA                |29120103601| GHPS H.VEERAPURA (W)                |10|1|8|7|273|1
